# FRB: Finance and Economics Discussion Series: Screen Reader Version - 200913

| Item | NETWORTH | NETWORTH (Standard Error) | INCOME | INCOME (Standard Error) | WAGES | WAGES (Standard Error) | SELF-EMP | SELF-EMP (Standard Error) | NONTAXINT | NONTAXINT (Standard Error) | TAXINT | TAXINT (Standard Error) | DIVIDEND | DIVIDEND (Standard Error) | GAIN_LOSS | GAIN_LOSS (Standard Error) | BUSINESS | BUSINESS (Standard Error) | UNEMP | UNEMP (Standard Error) | ALIMONY | ALIMONY (Standard Error) | WELFARE | WELFARE (Standard Error) | PENSION | PENSION (Standard Error) | OTHINC | OTHINC (Standard Error) |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| All Total | 55189.2 | 1188.6 | 8714.8 | 144.8 | 6050.4 | 117.2 | 477.6 | 37.2 | 65.1 | 6.1 | 116.6 | 6.5 | 120.9 | 8.3 | 279.3 | 41.1 | 467.9 | 42.8 | 36 | 2.5 | 34.4 | 4 | 35.6 | 2.2 | 848.4 | 20.4 | 48 | 11 |
| All Share | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 |
| <50 Total | 6881.4 | 463.2 | 1381 | 22.9 | 884.1 | 25.7 | 36.4 | 4.7 | 1.7 | 0.6 | 15.2 | 2.1 | 5.6 | 1.4 | -12 | 7.6 | -13.2 | 20.2 | 15.2 | 1.5 | 15.1 | 1.3 | 32.8 | 2.2 | 364.9 | 11.8 | 13.4 | 2.2 |
| <50 Share | 12.5 | 0.7 | 15.8 | 0.4 | 14.6 | 0.5 | 7.6 | 1.1 | 2.6 | 1 | 13.1 | 1.7 | 4.7 | 1.2 | -4.3 | 2.9 | -2.8 | 4.7 | 42.2 | 3.6 | 43.7 | 6.5 | 92.2 | 1.5 | 43 | 1.6 | 27.8 | 7.4 |
| 50-90 Total | 17054.4 | 682.1 | 3608.9 | 74.2 | 2896.5 | 70.7 | 130.6 | 17 | 9.1 | 2.2 | 30.3 | 2.8 | 22.7 | 2.8 | 23 | 6.7 | 52.6 | 7.4 | 19 | 2.1 | 16.6 | 4.1 | 2.7 | 0.5 | 368.3 | 20.2 | 11.8 | 2.8 |
| 50-90 Share | 30.9 | 1.1 | 41.4 | 0.8 | 47.9 | 1.1 | 27.3 | 3.3 | 13.9 | 3.2 | 26 | 2.3 | 18.8 | 2.4 | 8.2 | 2.5 | 11.2 | 1.7 | 52.7 | 3.5 | 48.3 | 6.9 | 7.7 | 1.5 | 43.4 | 1.9 | 24.5 | 6.9 |
| 90-95 Total | 5331.8 | 479.6 | 940.1 | 58.8 | 751.7 | 54.7 | 45.8 | 13 | 4.6 | 2.3 | 8.9 | 1.6 | 8.7 | 2.2 | 10.2 | 4.6 | 38.4 | 8.3 | 1.7 | 0.4 | 1.2 | 0.7 | 0 | 0 | 44 | 9.1 | 2.6 | 1.4 |
| 90-95 Share | 9.7 | 0.9 | 10.8 | 0.6 | 12.4 | 0.8 | 9.6 | 2.6 | 7.1 | 3.3 | 7.6 | 1.5 | 7.2 | 1.8 | 3.6 | 1.7 | 8.2 | 1.8 | 4.6 | 1 | 3.4 | 2.1 | 0 | 0 | 5.2 | 1 | 5.4 | 3.2 |
| 95-99 Total | 11574.4 | 766.2 | 1284.1 | 77.5 | 824.8 | 59.8 | 152.3 | 22.9 | 15.6 | 2.8 | 24.6 | 3.5 | 32.1 | 5.5 | 50.7 | 10 | 90 | 15.4 | 0.1 | 0.1 | 1.5 | 0.6 | 0 | 0 | 52 | 7.3 | 10.3 | 5.2 |
| 95-99 Share | 21 | 1.3 | 14.7 | 0.8 | 13.6 | 0.9 | 31.9 | 3.9 | 24 | 4.1 | 21 | 2.6 | 26.5 | 4.2 | 18.2 | 3.9 | 19.2 | 3 | 0.4 | 0.2 | 4.2 | 1.8 | 0 | 0 | 6.1 | 0.8 | 21.5 | 9.7 |
| 99-100 Total | 14347.2 | 810.2 | 1500.7 | 103.5 | 693.3 | 68.6 | 112.4 | 19.4 | 34.1 | 4.8 | 37.6 | 3.8 | 51.8 | 7.3 | 207.3 | 39.3 | 300 | 31.6 | 0 | 0.1 | 0.1 | 0.1 | 0 | 0 | 19.2 | 4.9 | 10 | 9.3 |
| 99-100 Share | 26 | 1.3 | 17.2 | 1 | 11.5 | 1.1 | 23.5 | 3.2 | 52.3 | 4.8 | 32.3 | 2.9 | 42.8 | 4.3 | 74.2 | 5.5 | 64.1 | 4.5 | 0.1 | 0.2 | 0.3 | 0.2 | 0.1 | 0.1 | 2.3 | 0.6 | 20.9 | 14.8 |
