# Prime Ministers of England (1721–1801) — Terms of Office by Calendar Years

| # | Prime Minister | Start year | End year | Notes |
|---:|---|---:|---:|---|
| 1 | Sir Robert Walpole | 1721 | 1742 | First de facto prime minister; long continuous term |
| 2 | Spencer Compton, Earl of Wilmington | 1742 | 1743 | Succeeded Walpole |
| 3 | Henry Pelham | 1743 | 1754 | Whig leadership stabilized government |
| 4 | Thomas Pelham-Holles, Duke of Newcastle | 1754 | 1756 | First Newcastle ministry |
| 5 | William Cavendish, Duke of Devonshire | 1756 | 1757 | Short caretaker-style ministry |
| 6 | Thomas Pelham-Holles, Duke of Newcastle | 1757 | 1762 | Second Newcastle ministry |
| 7 | John Stuart, Earl of Bute | 1762 | 1763 | First Scottish-born PM |
| 8 | George Grenville | 1763 | 1765 | Stamp Act era |
| 9 | Charles Watson-Wentworth, Marquess of Rockingham | 1765 | 1766 | First Rockingham ministry |
| 10 | William Pitt, Earl of Chatham | 1766 | 1768 | Illness limited direct leadership |
| 11 | Augustus FitzRoy, Duke of Grafton | 1768 | 1770 | Transition amid imperial tensions |
| 12 | Frederick North, Lord North | 1770 | 1782 | American Revolutionary War period |
| 13 | Charles Watson-Wentworth, Marquess of Rockingham | 1782 | 1782 | Second Rockingham ministry |
| 14 | William Petty, Earl of Shelburne | 1782 | 1783 | Peace negotiations |
| 15 | William Cavendish-Bentinck, Duke of Portland | 1783 | 1783 | Coalition ministry (brief) |
| 16 | William Pitt the Younger | 1783 | 1801 | Long tenure across late 18th century |
