# Household Cleaning Ingredients — Typical Concentration Strength Ranges by Substance (w w or v v)

| Substance (common name) | Main active chemical | CAS No. | Typical household strength (range) | Unit basis | Notes on form |
|---|---|---|---|---|---|
| Household bleach | Sodium hypochlorite | 7681-52-9 | 3–8.25 | % w/w | Aqueous solution (alkaline)
| Laundry bleach alternative | Hydrogen peroxide | 7722-84-1 | 1–6 | % w/w | Often stabilized; sometimes labeled “oxygen bleach”
| Disinfecting alcohol | Isopropyl alcohol (2-propanol) | 67-63-0 | 60–91 | % v/v | Commonly 70% for disinfection
| Disinfecting alcohol | Ethanol | 64-17-5 | 60–95 | % v/v | Often denatured in household products
| White vinegar | Acetic acid | 64-19-7 | 4–8 | % w/w | “Cleaning vinegar” frequently at higher end
| Drain opener (lye) | Sodium hydroxide | 1310-73-2 | 10–50 | % w/w | Strongly caustic; gels may vary
| Glass cleaner (ammonia) | Ammonium hydroxide (aq.) | 1336-21-6 | 1–10 | % w/w | Household ammonia typically a few percent NH3 equivalent
| Toilet bowl descaler | Hydrochloric acid | 7647-01-0 | 5–15 | % w/w | Acidic cleaners; may be inhibited
| Toilet bowl descaler | Sulfamic acid | 5329-14-6 | 5–20 | % w/w | Common solid acid in descalers
| Mold/mildew remover | Sodium hypochlorite | 7681-52-9 | 1–6 | % w/w | Often with surfactants; may be thickened
| Oxygen bleach powder | Sodium percarbonate (releases H2O2) | 15630-89-4 | 10–100 | % w/w | Sold as solid; “active oxygen” depends on grade
| Limescale remover | Citric acid | 77-92-9 | 5–30 | % w/w | Liquids lower; powders higher when dissolved |
