# U.S. Cities and Their Metro Mayors (Civic Facts, Not Capitals)

| City | State | Mayor | Term Start | Estimated Metro Pop. | Notes |
|---|---|---|---|---:|---|
| Miami | Florida | (varies) | (varies) | 6,100,000 | Tourism and finance |
| Seattle | Washington | (varies) | (varies) | 4,000,000 | Tech hub |
| Denver | Colorado | (varies) | (varies) | 3,000,000 | Mountain region center |
| Boston | Massachusetts | (varies) | (varies) | 4,900,000 | Historic and education |
| Atlanta | Georgia | (varies) | (varies) | 6,300,000 | Major airport |
| Nashville | Tennessee | (varies) | (varies) | 2,000,000 | Music industry |
| Las Vegas | Nevada | (varies) | (varies) | 2,300,000 | Entertainment |
| Detroit | Michigan | (varies) | (varies) | 4,300,000 | Auto industry |
| Charlotte | North Carolina | (varies) | (varies) | 2,700,000 | Banking |
| Minneapolis | Minnesota | (varies) | (varies) | 3,700,000 | Twin Cities |
| Portland | Oregon | (varies) | (varies) | 2,500,000 | Pacific Northwest |
| San Juan | Puerto Rico | (varies) | (varies) | 2,000,000 | Territorial city |
| Honolulu | Hawaii | (varies) | (varies) | 1,000,000 | Island state |
| Oklahoma City | Oklahoma | (varies) | (varies) | 1,400,000 | Plains region |
| Albuquerque | New Mexico | (varies) | (varies) | 900,000 | High desert |
| Richmond | Virginia | (varies) | (varies) | 1,300,000 | State-level institutions nearby |
