# Stocks - Hot Stocks | Hot Stocks Losers

| Sym | MDA.TO | MFI.TO | PWF-PR-T.TO | GIL.TO | BMO-PR-Y.TO | CU-PR-C.TO | FCR-DB-H.TO | TRP-PR-D.TO | CDV.TO | HNL.TO | JOY.TO | BPO-PR-R.TO | NSU.TO | TBE-DB.TO | HLC-DB-A.TO | SLF-PR-I.TO | BPO-PR-P.TO | SLF-PR-H.TO | SOX.TO | BAM-PR-Z.TO | VSN-PR-A.TO | BPO-PR-N.TO | Y.TO | POU.TO | FCR-DB-I.TO | TGL-DB.TO | XFR.TO | RY-PR-J.TO | SCL.TO | AIF-DB-A.TO | FIH-U.TO | EIF-DB-F.TO | KMP.TO | WRG.TO | PGF-DB-B.TO | HOU.TO | MBT.TO | DCF-DB.TO | MAL.TO | BTE.TO | DGS-PR-A.TO | GEI.TO | ARX.TO | BXO.TO | CPD.TO | AGF-B.TO | CHR-A.TO | CGX.TO | BRF-PR-C.TO | SDY.TO | BNP.TO | DH.TO | ENB-PR-T.TO | CVL.TO | ISL-UN.TO | HNU.TO | DRG-DB.TO | GXO.TO | PEY.TO | TD-PF-C.TO | MR-DB.TO | CDI.TO | BCE-PR-K.TO | PSD.TO | BIP-UN.TO | HUC.TO | FRU.TO | PSK.TO | AM.TO | TRP-PR-C.TO | TA-PR-D.TO | ENB-PF-U.TO | NA-PR-S.TO | BAM-PF-A.TO | RE.TO | ENB-PR-Y.TO | VET.TO | TRP-PR-A.TO | AXL-DB.TO | ECF-UN.TO | IGG.TO | CHR-B.TO | AC.TO | ZHY.TO | CPH.TO | STN.TO | PIC-A.TO | EIF-DB-G.TO | DOO.TO | WEW.TO | HGD.TO | CJ.TO | CEU.TO | HIX.TO | BAM-PR-X.TO | DS.TO | AF.TO | TOU.TO | ENB-PR-B.TO | SGY.TO |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Macdonald Dettwiler | Maple Leaf Foods | Power Financial Corp 4.2 | Gildan Activewear Inc. | Bank of Montreal Pref Se | Canadian Utilities Limit | First Capital Realty Inc | Transcanada Corp Pref Se | Com Dev Intl | Horizon North Logistics | Journey Energy Inc | Brookfield Office Proper | Nevsun Res J | Twin Butte Energy Ltd 6. | Holloway Lodging Corp 7. | Sun Life Financial Inc P | Brookfield Office Proper | Sun Life Financial Inc P | Stuart Olson Inc | Brookfield Asset Mgmt In | Veresen Inc Pref Sh Seri | Brookfield Office Proper | Yellow Pages Limited | Paramount Resources Ltd. | First Capital Realty Inc | Transglobe Energy Corp 6 | Ishares Floating Rate In | Royal Bank Pref Series B | Shawcor Ltd | Altus Group Ltd 6.75 Pct | Fairfax India Holdings C | Exchange Income Corp 5.3 | Killam Properties Inc. | Western Energy Services | Pengrowth Energy Corp 6. | Horizon Betapro Nymex Cr | Manitoba Telecom | Difference Cap Financial | Magellan Aero | Baytex Energy Corp. | Dividend Growth Split Co | Gibson Energy Inc | Arc Resources Ltd. | Boulder Energy Ltd | Ishares Sp TSX CDN Pref | Agf Management Ltd. Cl. | Chorus Aviation Inc Cl A | Cineplex Inc. | Brookfield Renewable Pow | Strad Energy Services Lt | Bonavista Energy Corpora | Dh Corporation | Enbridge Inc Pref Ser R | Cervus Equipment Corpora | ING Floating Rate Senior | Horizons Beta Pro Nymex | Dream Global REIT 5.5 PC | Granite Oil Corp | Peyto Exploration and Dv | TD Bank Pref Series 5 | Melcor REIT 5.50 Pct Deb | Canelson Drilling Inc | BCE Inc Pref Series AK | Pulse Seismic Inc. | Brookfield Infra Partner | Horizons Nymex Crude Oil | Freehold Royalties Ltd. | Prairiesky Royalty Ltd | Automodular Corporation | Transcanada Cumul Redeem | Transalta Corp Prfd Seri | Enbridge Inc Preferred S | National Bank Pref Serie | Brookfield Asset Mgmt In | Rock Energy Inc. | Enbridge Inc Cum Red Pre | Vermilion Energy Inc | Transcanada Corp Pref Se | Anderson Energy Inc. 7.5 | East Coast Invest Grade | Innova Gaming Group Inc | Chorus Aviation Inc Cl B | Air Canada | BMO High Yld US Corp Bnd | Cipher Pharmaceuticals I | Stantec Inc | Premium Income A | Exchange Income Corp 6.0 | Brp Inc | Webtech Wireless Inc. | Horizons BP Gold Bear Pl | Cardinal Energy Ltd | Canadian Energy Svcs and | Horizons Betapro S&P/Tsx | Brookfield Am Pref Ser 2 | Dividend Select 15 Corp. | Alarmforce J | Tourmaline Oil Corp | Enbridge Inc Cum Redeem | Surge Energy Inc |
| Std Dev | -3.51 | -3.44 | -3.38 | -3.38 | -3.21 | -3.07 | -3.06 | -3.05 | -2.86 | -2.76 | -2.73 | -2.71 | -2.53 | -2.51 | -2.31 | -2.30 | -2.29 | -2.27 | -2.24 | -2.04 | -2.03 | -1.97 | -1.92 | -1.92 | -1.91 | -1.85 | -1.83 | -1.77 | -1.74 | -1.74 | -1.74 | -1.71 | -1.68 | -1.68 | -1.66 | -1.66 | -1.65 | -1.65 | -1.64 | -1.63 | -1.59 | -1.59 | -1.59 | -1.59 | -1.50 | -1.48 | -1.48 | -1.48 | -1.48 | -1.47 | -1.46 | -1.44 | -1.43 | -1.43 | -1.42 | -1.41 | -1.39 | -1.37 | -1.36 | -1.36 | -1.32 | -1.32 | -1.30 | -1.28 | -1.28 | -1.26 | -1.25 | -1.23 | -1.22 | -1.22 | -1.21 | -1.21 | -1.18 | -1.18 | -1.17 | -1.16 | -1.14 | -1.13 | -1.08 | -1.08 | -1.07 | -1.06 | -1.06 | -1.05 | -1.05 | -1.04 | -1.04 | -1.02 | -1.00 | -1.00 | -0.99 | -0.99 | -0.99 | -0.99 | -0.98 | -0.97 | -0.96 | -0.95 | -0.94 | -0.93 |
| Last | 77.54 | 22.69 | 24.07 | 42.18 | 24.18 | 23.80 | 101.00 | 20.24 | 5.19 | 3.00 | 2.64 | 19.17 | 4.20 | 58.00 | 98.50 | 23.10 | 18.11 | 19.35 | 5.90 | 21.56 | 17.55 | 18.10 | 18.16 | 19.70 | 100.25 | 92.50 | 20.10 | 23.59 | 30.74 | 166.50 | 11.35 | 90.00 | 10.00 | 5.24 | 90.00 | 5.63 | 29.01 | 81.50 | 18.42 | 11.26 | 10.22 | 19.28 | 19.57 | 5.40 | 13.80 | 5.97 | 6.28 | 47.64 | 19.84 | 2.76 | 4.90 | 43.10 | 17.05 | 14.11 | 9.69 | 3.32 | 103.00 | 4.40 | 28.30 | 21.50 | 101.50 | 3.58 | 15.22 | 2.51 | 54.56 | 6.58 | 12.96 | 26.85 | 2.35 | 14.83 | 10.20 | 18.66 | 22.67 | 21.95 | 2.61 | 17.03 | 44.00 | 18.62 | 51.50 | 9.56 | 2.71 | 6.42 | 11.77 | 14.80 | 10.63 | 36.37 | 6.35 | 91.29 | 28.15 | 2.50 | 17.76 | 12.20 | 6.45 | 7.82 | 16.28 | 9.74 | 11.11 | 32.34 | 16.20 | 2.37 |
| Change | -5.50 | -1.00 | -0.71 | -3.48 | -0.32 | -0.60 | -0.90 | -0.90 | -0.39 | -0.33 | -0.16 | -1.00 | -0.23 | -2.30 | -1.50 | -0.40 | -0.63 | -0.58 | -0.66 | -0.84 | -0.60 | -0.65 | -0.74 | -1.31 | -0.75 | -0.50 | -0.02 | -0.26 | -0.73 | -13.50 | -0.36 | -1.50 | -0.15 | -0.27 | -1.00 | -0.38 | -0.67 | -1.50 | -0.61 | -0.71 | -0.03 | -0.71 | -0.76 | -0.33 | -0.16 | -0.24 | -0.29 | -0.56 | -0.26 | -0.10 | -0.27 | -0.75 | -0.45 | -0.46 | -0.04 | -0.16 | -0.50 | -0.25 | -0.68 | -0.37 | -0.50 | -0.11 | -0.42 | -0.07 | -0.93 | -0.12 | -0.32 | -0.61 | -0.02 | -0.25 | -0.24 | -0.22 | -0.51 | -0.30 | -0.12 | -0.37 | -1.08 | -0.21 | -1.00 | -0.04 | -0.10 | -0.18 | -0.22 | -0.07 | -0.41 | -0.48 | -0.15 | -0.71 | -0.52 | -0.04 | -1.13 | -0.29 | -0.18 | -0.06 | -0.25 | -0.05 | -0.09 | -0.54 | -0.29 | -0.08 |
| Percent | -6.62% | -4.22% | -2.87% | -7.62% | -1.31% | -2.46% | -0.88% | -4.26% | -6.99% | -9.91% | -5.71% | -4.96% | -5.19% | -3.81% | -1.50% | -1.70% | -3.36% | -2.91% | -10.06% | -3.75% | -3.31% | -3.47% | -3.92% | -6.24% | -0.74% | -0.54% | -0.10% | -1.09% | -2.32% | -7.50% | -3.07% | -1.64% | -1.48% | -4.90% | -1.10% | -6.32% | -2.26% | -1.81% | -3.21% | -5.93% | -0.29% | -3.55% | -3.74% | -5.76% | -1.15% | -3.86% | -4.41% | -1.16% | -1.29% | -3.50% | -5.22% | -1.71% | -2.57% | -3.16% | -0.41% | -4.60% | -0.48% | -5.38% | -2.35% | -1.69% | -0.49% | -2.98% | -2.69% | -2.71% | -1.68% | -1.79% | -2.41% | -2.22% | -0.84% | -1.66% | -2.30% | -1.17% | -2.20% | -1.35% | -4.40% | -2.13% | -2.40% | -1.12% | -1.90% | -0.42% | -3.56% | -2.73% | -1.83% | -0.47% | -3.71% | -1.30% | -2.31% | -0.77% | -1.81% | -1.57% | -5.98% | -2.32% | -2.71% | -0.76% | -1.51% | -0.51% | -0.80% | -1.64% | -1.76% | -3.27% |
| High | 83.10 | 24.10 | 24.78 | 43.88 | 24.49 | 24.18 | 101.75 | 21.07 | 5.60 | 3.37 | 2.77 | 20.13 | 4.45 | 58.00 | 98.50 | 23.50 | 18.70 | 19.57 | 6.51 | 22.55 | 18.28 | 18.79 | 18.80 | 21.23 | 101.00 | 93.25 | 20.11 | 24.06 | 31.66 | 166.50 | 11.80 | 90.00 | 10.16 | 5.49 | 90.65 | 6.04 | 29.31 | 81.50 | 19.03 | 12.04 | 10.23 | 20.14 | 20.52 | 5.52 | 14.00 | 6.20 | 6.52 | 48.71 | 20.01 | 2.89 | 5.30 | 44.14 | 17.46 | 14.70 | 9.72 | 3.49 | 103.00 | 4.71 | 29.09 | 21.74 | 101.50 | 3.77 | 15.63 | 2.59 | 55.53 | 6.70 | 13.33 | 27.68 | 2.35 | 15.08 | 10.43 | 18.85 | 23.10 | 22.33 | 2.75 | 17.30 | 45.24 | 18.95 | 52.50 | 9.60 | 2.80 | 6.56 | 12.07 | 14.87 | 11.07 | 37.26 | 6.50 | 91.29 | 28.77 | 2.55 | 18.53 | 12.51 | 6.75 | 7.84 | 16.50 | 9.84 | 11.25 | 33.36 | 16.60 | 2.45 |
| Low | 76.02 | 22.56 | 23.99 | 41.50 | 24.18 | 23.80 | 101.00 | 20.24 | 5.07 | 2.98 | 2.61 | 19.17 | 4.14 | 58.00 | 97.36 | 23.10 | 18.11 | 19.20 | 5.78 | 21.35 | 17.55 | 18.10 | 18.00 | 19.51 | 100.25 | 92.50 | 20.10 | 23.59 | 30.51 | 166.50 | 11.30 | 90.00 | 9.95 | 5.03 | 87.73 | 5.59 | 28.52 | 81.50 | 18.35 | 10.70 | 10.22 | 19.26 | 19.53 | 5.30 | 13.79 | 5.96 | 6.28 | 47.57 | 19.84 | 2.76 | 4.71 | 42.98 | 17.00 | 14.00 | 9.69 | 3.30 | 103.00 | 4.40 | 28.11 | 21.50 | 101.50 | 3.58 | 15.00 | 2.48 | 54.56 | 6.58 | 12.91 | 26.70 | 2.31 | 14.75 | 10.05 | 18.66 | 22.66 | 21.13 | 2.57 | 17.03 | 43.93 | 18.62 | 51.50 | 9.56 | 2.71 | 6.39 | 11.60 | 14.79 | 10.60 | 36.31 | 6.35 | 91.29 | 28.04 | 2.50 | 17.65 | 12.11 | 6.41 | 7.82 | 16.28 | 9.74 | 11.10 | 32.20 | 15.88 | 2.35 |
| Time | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
