# Where to Read About Science Discoveries  Websites and Magazines Directory

| Resource Name | Type | Main Topics | Typical Content | Update Frequency | Access Model |
| --- | --- | --- | --- | --- | --- |
| Nature | Magazine/Journal | Multidisciplinary science | Research papers, news | Weekly | Subscription + some free |
| Science | Magazine/Journal | Multidisciplinary science | Research papers, policy | Weekly | Subscription |
| Scientific American | Magazine | Popular science | Features, explainers | Monthly | Subscription |
| New Scientist | Magazine | Popular science | News and commentary | Weekly | Subscription |
| Phys.org | Website | Physics & tech | Short research news | Daily | Free |
| arXiv | Preprint server | Physics, CS, math | Preprints | Daily | Free |
| PubMed | Database | Biomedical | Abstracts and links | Continuous | Free |
| NASA Newsroom | Website | Space science | Mission updates | Weekly | Free |
| EurekAlert! | Press-release hub | Research news | University press releases | Daily | Free |
| The Conversation (Science) | Website | Science & society | Expert-written articles | Daily | Free |
| HHMI BioInteractive | Education resource | Biology | Videos, interactives | Periodic | Free |
