# Household Cleaning Product Actives (Typical Strength Ranges, % w w)

| Product category (example use) | Chemical ingredient (active) | Typical concentration (% w/w) | Concentration type | Notes |
|---|---|---:|---|---|
| Household bleach (laundry/disinfection) | Sodium hypochlorite | 3–6% | Active in aqueous solution | Often labeled as “available chlorine” equivalent |
| Household bleach (stabilizer) | Sodium hydroxide | 0.1–0.5% | Formulation component | Helps stabilize hypochlorite at high pH |
| Disinfecting wipes (quat-based) | Benzalkonium chloride (ADBAC) | 0.10–0.13% | Active in solution | Common EPA-registered disinfectant active |
| Disinfectant spray (quat-based) | Didecyldimethylammonium chloride (DDAC) | 0.05–0.20% | Active in solution | Often combined with other quats |
| Glass cleaner (ammonia-based) | Ammonium hydroxide | 0.5–2% | Active in solution | “Ammonia” on label usually refers to this |
| Toilet bowl cleaner (acidic) | Hydrochloric acid | 9–12% | Active in solution | Acid strength varies widely by brand/region |
| Toilet bowl cleaner (alternative acid) | Sulfamic acid | 5–10% | Active in solution | Used where HCl is avoided |
| Drain opener (caustic) | Sodium hydroxide | 30–60% | Active in solution | High-strength; strong base |
| Limescale remover (mild acid) | Citric acid | 5–10% | Active in solution | Common in “descaler” products |
| Vinegar (food/cleaning) | Acetic acid | 4–8% | Active in solution | Typical white vinegar ~5% |
| Hydrogen peroxide cleaner | Hydrogen peroxide | 1–3% | Active in solution | Consumer antiseptic often 3% |
| Rubbing alcohol | Isopropyl alcohol | 70% | Active in solution | Common “70% IPA” for disinfection |
| Hand sanitizer (gel/liquid) | Ethanol | 60–80% | Active in solution | Many products target 62–70% |
| Fabric softener (cationic surfactant) | Diester quaternary ammonium compound (DEQA) | 1–5% | Active in formulation | Often listed as “cationic surfactant” |
| Dishwashing liquid | Sodium lauryl sulfate (SLS) | 5–15% | Active in formulation | Surfactant level varies by concentrate |
| All-purpose cleaner (surfactant) | Alcohol ethoxylates | 1–5% | Active in formulation | Nonionic surfactants in many APCs |
