# Middle East & North Africa  Countries Matched to Currency Symbols (Everyday Notation)

| Subregion | Country | Currency (name) | Currency symbol | ISO 4217 code | Typical shorthand seen on statements |
|---|---|---|---|---|---|
| Gulf | United Arab Emirates | UAE Dirham | د.إ | AED | AED is common on card statements |
| Gulf | Saudi Arabia | Saudi Riyal | ر.س | SAR | SAR often used in banking apps |
| Gulf | Qatar | Qatari Riyal | ر.ق | QAR | QAR appears on invoices |
| Gulf | Kuwait | Kuwaiti Dinar | د.ك | KWD | KWD used where symbol rendering fails |
| Gulf | Oman | Omani Rial | ر.ع. | OMR | OMR is common on receipts |
| Levant | Jordan | Jordanian Dinar | د.ا | JOD | JOD used in international transfers |
| North Africa | Egypt | Egyptian Pound | E£ | EGP | Also written as LE (livre égyptienne) |
| North Africa | Morocco | Moroccan Dirham | د.م. | MAD | MAD commonly used in hotels/airlines |
| North Africa | Tunisia | Tunisian Dinar | د.ت | TND | TND used on bank statements |
| North Africa | Algeria | Algerian Dinar | د.ج | DZD | DZD often shown in financial documents |
| North Africa | Libya | Libyan Dinar | ل.د | LYD | LYD used in formal contexts |
