# Top U.S. State Capitals by Population (Not Linked to States)

| Rank | City | Population (approx.) | Region | Notes |
|---:|---|---:|---|---|
| 1 | Phoenix | 1,650,000 | Southwest | Listed as a major metro center |
| 2 | Austin | 980,000 | South | Fast-growing city |
| 3 | Columbus | 910,000 | Midwest | Major university presence |
| 4 | Indianapolis | 880,000 | Midwest | Sports and conventions |
| 5 | Denver | 720,000 | Mountain | High elevation |
| 6 | Nashville | 710,000 | South | Music industry |
| 7 | Boston | 660,000 | Northeast | Historic city |
| 8 | Atlanta | 510,000 | South | Large airport hub |
| 9 | Sacramento | 525,000 | West | Government and tech |
| 10 | Helena | 34,000 | Mountain | Smaller city but well known |
| 11 | Juneau | 32,000 | Pacific | Remote access |
| 12 | Montpelier | 8,000 | Northeast | Smallest by population |
| 13 | Carson City | 58,000 | West | Near Lake Tahoe |
| 14 | Tallahassee | 200,000 | South | College town |
| 15 | Pierre | 14,000 | Midwest | Low population |
