# Academy Awards Ceremonies  Broadcast Ratings and Featured Performances (TV-Focused)

| Ceremony (No.) | Event Year | Network | U.S. Viewers (Millions) | Nielsen Rating | Musical Performance Highlight | Notable Comedy Bit |
|---|---:|---|---:|---:|---|---|
| 83rd Academy Awards | 2011 | ABC | 37.9 | 21.3 | "We Want the Funk" tribute segment | Opening montage spoof |
| 84th Academy Awards | 2012 | ABC | 39.5 | 22.8 | Cirque-inspired scoring tribute | Silent-film style skit |
| 85th Academy Awards | 2013 | ABC | 40.3 | 23.0 | "Skyfall" performance | Seth MacFarlane song medley |
| 86th Academy Awards | 2014 | ABC | 43.7 | 24.7 | "Let It Go" performance | Selfie moment with celebrities |
| 87th Academy Awards | 2015 | ABC | 37.3 | 20.9 | "Glory" performance | Audience participation segment |
| 88th Academy Awards | 2016 | ABC | 34.4 | 19.4 | Sam Smith "Writing's on the Wall" | Spotlight on #OscarsSoWhite |
| 89th Academy Awards | 2017 | ABC | 32.9 | 18.7 | Justin Timberlake opening number | Best Picture envelope mix-up |
| 90th Academy Awards | 2018 | ABC | 26.5 | 16.5 | "Remember Me" performance | Jet Ski gag |
| 91st Academy Awards | 2019 | ABC | 29.6 | 17.7 | Queen + Adam Lambert opener | No host format commentary |
