# Top 40 brands in Canada - Canadian Business - Your Source For Business News

| Ranking | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Company | The Walt Disney Company | LEGO Group | Johnson & Johnson | Rolex | Nestlé | Microsoft | Google | BMW | Sony | Tim Hortons | Goodyear | General Mills | Honda Motor | Canon | Kellogg Company | Westjet | Michelín | McCain Foods | Barilla | Intel | Kraft Foods | UPS | HJ Heinz | Danone | IBM | L'Oréal | Apple | Canadian Tire | Adidas Group | Samsung Electronics | Nintendo | Jean Coutu Group | Daimler (Mercedes-Benz) | Colgate-Palmolive | Amazon.com | Procter & Gamble | General Electric | Whirlpool | Shoppers Drug Mart (Pharmaprix) | FedEx |
| Reputation | 81.57 | 79.56 | 78.68 | 78.47 | 78.38 | 78.11 | 78.06 | 77.76 | 77.45 | 77.17 | 76.93 | 76.91 | 75.68 | 75.66 | 75.18 | 74.84 | 74.83 | 74.15 | 74.04 | 74.00 | 73.83 | 73.76 | 73.69 | 73.68 | 73.33 | 73.26 | 73.25 | 73.16 | 72.93 | 72.84 | 72.70 | 72.62 | 72.49 | 72.46 | 72.35 | 71.95 | 71.92 | 71.87 | 71.84 | 71.70 |
| Products | 79.87 | 78.55 | 77.42 | 83.63 | 78.47 | 81.18 | 77.97 | 83.15 | 80.64 | 69.10 | 75.25 | 75.15 | 78.84 | 78.37 | 74.01 | 73.56 | 76.94 | 72.88 | 74.82 | 76.72 | 72.37 | 69.80 | 75.68 | 76.03 | 74.24 | 73.54 | 78.61 | 72.16 | 76.42 | 75.30 | 76.07 | 71.51 | 77.42 | 71.58 | 75.32 | 72.37 | 73.50 | 73.46 | 72.21 | 74.53 |
| Innovation | 81.92 | 76.19 | 74.26 | 72.75 | 75.53 | 82.56 | 77.37 | 79.60 | 80.04 | 71.29 | 72.04 | 74.61 | 76.84 | 75.73 | 70.75 | 69.77 | 73.06 | 71.03 | 67.30 | 76.08 | 70.89 | 61.85 | 67.15 | 71.90 | 74.29 | 72.12 | 82.20 | 68.22 | 71.37 | 76.33 | 76.09 | 65.86 | 73.80 | 68.78 | 73.41 | 72.35 | 68.81 | 71.44 | 66.32 | 67.44 |
| Workplace | 74.87 | 71.10 | 71.56 | 68.71 | 74.60 | 79.84 | 76.60 | 78.73 | 74.61 | 56.45 | 70.70 | 69.13 | 70.44 | 69.25 | 70.30 | 73.60 | 69.60 | 61.61 | 65.19 | 66.72 | 66.72 | 67.75 | 65.21 | 68.33 | 69.20 | 67.00 | 74.17 | 65.67 | 63.25 | 64.77 | 66.46 | 65.90 | 68.69 | 61.32 | 69.06 | 66.52 | 66.27 | 66.72 | 68.09 | 68.52 |
| Citizenship | 76.28 | 69.71 | 70.11 | 66.86 | 70.73 | 76.38 | 71.08 | 68.85 | 71.82 | 77.54 | 70.21 | 71.81 | 70.70 | 65.56 | 71.13 | 68.42 | 69.07 | 64.12 | 66.74 | 65.19 | 65.97 | 63.84 | 64.26 | 71.41 | 68.76 | 64.98 | 67.15 | 73.96 | 67.35 | 66.10 | 62.81 | 68.27 | 65.93 | 67.60 | 67.13 | 68.38 | 66.29 | 63.99 | 67.67 | 70.28 |
| Governance | 74.32 | 72.01 | 70.41 | 74.66 | 73.33 | 77.39 | 73.20 | 71.89 | 73.73 | 69.66 | 70.68 | 71.16 | 71.21 | 71.84 | 72.74 | 73.51 | 70.46 | 67.46 | 65.47 | 71.88 | 67.49 | 69.16 | 67.43 | 70.38 | 68.65 | 62.02 | 68.99 | 70.59 | 69.51 | 65.24 | 67.22 | 67.22 | 67.59 | 65.05 | 69.56 | 65.58 | 67.97 | 66.68 | 67.69 | 69.03 |
| Leadership | 77.08 | 72.45 | 73.10 | 73.71 | 73.63 | 81.61 | 76.49 | 77.41 | 76.41 | 69.99 | 72.99 | 71.95 | 74.84 | 70.22 | 71.97 | 72.85 | 72.79 | 69.25 | 66.47 | 70.51 | 71.58 | 68.52 | 64.88 | 70.07 | 74.49 | 67.26 | 77.17 | 68.72 | 70.79 | 68.33 | 69.33 | 70.06 | 71.24 | 65.54 | 69.51 | 71.48 | 67.18 | 68.79 | 67.46 | 73.04 |
| Performance | 82.24 | 75.21 | 75.77 | 77.55 | 76.72 | 82.62 | 77.32 | 80.20 | 77.39 | 75.99 | 75.77 | 72.62 | 76.70 | 72.82 | 75.67 | 71.96 | 74.83 | 72.05 | 67.14 | 75.69 | 75.69 | 67.11 | 70.48 | 72.27 | 72.99 | 71.48 | 81.18 | 70.87 | 73.06 | 74.07 | 69.27 | 70.52 | 74.85 | 68.06 | 75.06 | 72.26 | 67.01 | 70.07 | 69.84 | 72.97 |
