# Olympus Four Thirds DSLR Bodies (E-System) Comparison Overview

| Line | Camera body model | Sensor format | Mount | IBIS | Live View | Viewfinder type | Typical strengths / notes |
|---|---|---|---|---|---|---|---|
| Prosumer | Olympus E-1 | Four Thirds | Four Thirds (4/3) | No | No | Optical (pentaprism) | Rugged pro-style build; early 4/3 flagship body |
| Entry | Olympus E-300 | Four Thirds | Four Thirds (4/3) | No | No | Optical | Compact, distinctive design; good value used |
| Entry | Olympus E-400 | Four Thirds | Four Thirds (4/3) | No | No | Optical | Very small DSLR; EU/Asia-oriented availability |
| Entry | Olympus E-410 | Four Thirds | Four Thirds (4/3) | No | Yes | Optical | Adds Live View; lightweight travel body |
| Entry | Olympus E-420 | Four Thirds | Four Thirds (4/3) | No | Yes | Optical | Smaller/updated take on E-410; simple controls |
| Midrange | Olympus E-510 | Four Thirds | Four Thirds (4/3) | Yes (sensor-shift) | Yes | Optical | First mainstream Olympus DSLR with IBIS; kit-friendly |
| Midrange | Olympus E-520 | Four Thirds | Four Thirds (4/3) | Yes (sensor-shift) | Yes | Optical | Refined E-510; practical all-rounder for 4/3 lenses |
| Prosumer | Olympus E-3 | Four Thirds | Four Thirds (4/3) | Yes (sensor-shift) | Yes | Optical | Weather-sealed body; fast handling; “pro” 4/3 workhorse |
| Prosumer | Olympus E-30 | Four Thirds | Four Thirds (4/3) | Yes (sensor-shift) | Yes | Optical | Advanced features (e.g., art filters); strong enthusiast option |
| Prosumer | Olympus E-5 | Four Thirds | Four Thirds (4/3) | Yes (sensor-shift) | Yes | Optical | Final high-end 4/3 DSLR; sealing and durability emphasized |
