# Beijing 2008 Olympic Venues and Capacities (Competition & Non-Competition Sites)

| Venue | Sport(s) Hosted | District | Type | Capacity | Notes |
|---|---|---|---|---:|---|
| Beijing National Stadium | Athletics, Football (final) | Chaoyang | Outdoor | 91000 | "Bird's Nest" |
| National Aquatics Center | Swimming, Diving, Synchronized Swimming | Chaoyang | Indoor | 17000 | "Water Cube" |
| Beijing Wukesong Arena | Basketball | Haidian | Indoor | 18000 | Multi-purpose arena |
| Beijing National Indoor Stadium | Gymnastics, Trampoline | Chaoyang | Indoor | 20000 | Adjacent Olympic Green |
| Shunyi Olympic Rowing-Canoeing Park | Rowing, Canoe/Kayak | Shunyi | Outdoor | 37000 | Water sports park |
| Laoshan Velodrome | Track Cycling | Shijingshan | Indoor | 6000 | Cycling venue |
| Beijing Shooting Range Hall | Shooting | Shijingshan | Indoor | 5000 | Multiple ranges |
| Beijing Olympic Tennis Center | Tennis | Chaoyang | Outdoor | 10000 | Hard courts |
| Qingdao Olympic Sailing Center | Sailing | Qingdao | Coastal | 12000 | Offshore competition |
| Hong Kong Olympic Equestrian Venue | Equestrian | Hong Kong | Outdoor | 18000 | Hosted due to quarantine |
| Beijing Capital Int'l Airport Terminal 3 | Arrivals/Departures | Chaoyang | Transport | 0 | Key logistics hub |
