# Papa John's Nutrition Facts Chart - Fast Food Nutrition Facts

|   | BBQ Chicken Bacon Pizza | Cheese Pizza | Double Bacon 6 Cheese Pizza | Garden Fresh Pizza | Hawaiian BBQ Chicken Pizza | John's Favorite Pizza | Pepperoni Pizza | Spicy Italian Pizza | Spinach Alfredo Pizza | Sweet Chili Chicken Pizza | The Meats Pizza | The Meats Pizza | The Works Pizza | Tuscan Six Cheese Pizza |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | 250 | 210 | 250 | 200 | 250 | 290 | 230 | 270 | 200 | 230 | 250 |  | 230 | 230 |
|  | 80 | 70 | 90 | 60 | 80 | 140 | 90 | 120 | 70 | 60 | 100 |  | 80 | 80 |
|  | 8 | 8 | 10 | 7 | 8 | 15 | 10 | 13 | 8 | 7 | 12 |  | 9 | 9 |
|  | 3.5 | 3.5 | 4.5 | 3.0 | 3.5 | 6.0 | 4.0 | 5.0 | 3.5 | 3.0 | 5.0 |  | 4.0 | 4.5 |
|  | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |
|  | 25 | 20 | 25 | 15 | 25 | 26 | 20 | 25 | 20 | 20 | 25 |  | 20 | 25 |
|  | 740 | 530 | 670 | 500 | 740 | 750 | 610 | 690 | 500 | 580 | 710 |  | 650 | 580 |
|  | 32 | 26 | 26 | 27 | 33 | 26 | 26 | 27 | 26 | 34 | 26 |  | 27 | 26 |
|  | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  | 1 | 1 |
|  | 3 | 3 | 3 | 4 | 9 | 3 | 3 | 3 | 3 | 9 | 3 |  | 3 | 3 |
|  | 11 | 8 | 12 | 8 | 11 | 12 | 9 | 10 | 8 | 9 | 11 |  | 9 | 10 |
|  | 6 | 4 | 4 | 6 | 6 | 4 | 2 | 4 | 10 | 6 | 4 |  | 4 | 4 |
|  | 2 | 4 | 4 | 10 | 4 | 4 | 4 | 4 | 0 | 10 | 4 |  | 8 | 4 |
|  | 15 | 15 | 20 | 15 | 15 | 20 | 10 | 15 | 15 | 10 | 15 |  | 15 | 20 |
|  | 10 | 8 | 10 | 10 | 10 | 10 | 10 | 10 | 8 | 10 | 10 |  | 10 | 8 |
