# Party and Social Deduction Board Games — Supported Player Counts

| Game | Players (Range) | Best With (optional) | Game Type | Notes |
| --- | --- | --- | --- | --- |
| Codenames | 2–8 players | 4–8 | Party / Word | Teams; scales well |
| Just One | 3–7 players | 5–7 | Party / Cooperative | Works best at higher counts |
| Dixit | 3–8 players | 5–7 | Party / Storytelling | More players increases variety |
| The Resistance | 5–10 players | 7–10 | Social Deduction | Requires at least 5 |
| Werewolf | 8–18 players | 10–18 | Social Deduction | Large-group focused |
| One Night Ultimate Werewolf | 3–10 players | 6–10 | Social Deduction | Short rounds |
| Sushi Go Party! | 2–8 players | 4–8 | Card Drafting | Expands beyond base game |
| Wavelength | 2–12 players | 6–12 | Party / Teams | Supports very large groups |
| Secret Hitler | 5–10 players | 7–10 | Social Deduction | Fixed minimum 5 |
