# Paris (Capital of France) — Visitor Attractions and Practical Details

| Attraction | Category | Address (Paris) | Nearest Metro/RER | Distance from Notre-Dame (km) | Notes |
|---|---|---|---|---:|---|
| Eiffel Tower | Landmark | Champ de Mars, 5 Av. Anatole France, 75007 | Bir-Hakeim (M6) | 4.1 | Iconic observation decks; timed tickets recommended |
| Louvre Museum | Museum | Rue de Rivoli, 75001 | Palais Royal–Musée du Louvre (M1/M7) | 1.2 | Large museum; allow 3+ hours |
| Musée d'Orsay | Museum | 1 Rue de la Légion d'Honneur, 75007 | Solférino (M12) / Musée d'Orsay (RER C) | 2.2 | Impressionist collection |
| Arc de Triomphe | Monument | Pl. Charles de Gaulle, 75008 | Charles de Gaulle–Étoile (M1/M2/M6, RER A) | 4.4 | Rooftop viewpoint over Champs-Élysées |
| Notre-Dame Cathedral | Cathedral | 6 Parvis Notre-Dame, 75004 | Cité (M4) | 0.0 | Reference point; exterior area and Île de la Cité |
| Sainte-Chapelle | Historic Site | 10 Bd du Palais, 75001 | Cité (M4) | 0.6 | Stained glass chapel on Île de la Cité |
| Luxembourg Gardens | Park | Rue de Médicis, 75006 | Luxembourg (RER B) | 1.6 | Classic gardens; chairs, fountains |
| Sacré-Cœur Basilica | Landmark/Religious | 35 Rue du Chevalier de la Barre, 75018 | Anvers (M2) | 3.4 | Montmartre hilltop; panoramic views |
| Centre Pompidou | Museum | Pl. Georges-Pompidou, 75004 | Rambuteau (M11) / Hôtel de Ville (M1/M11) | 0.9 | Modern art; distinctive architecture |
