# Overview of Major Apple iPod Product Lines (by Generation)

| iPod line (type) | Generation | Release year | Storage capacity options (at launch) | Form factor / notes |
|---|---:|---:|---|---|
| iPod (Classic) | 1st | 2001 | 5 GB, 10 GB | Scroll wheel; FireWire sync/charge |
| iPod (Classic) | 2nd | 2002 | 10 GB, 20 GB | Touch wheel; Windows support added |
| iPod (Classic) | 3rd | 2003 | 10 GB, 15 GB, 20 GB, 30 GB, 40 GB | Touch-sensitive buttons above wheel |
| iPod (Classic) | 4th | 2004 | 20 GB, 40 GB | Click Wheel introduced |
| iPod (Classic) | 5th (Video) | 2005 | 30 GB, 60 GB, 80 GB | Video playback; larger screen |
| iPod (Classic) | 6th (Classic) | 2007 | 80 GB, 160 GB | Redesigned UI; “iPod classic” branding |
| iPod (Classic) | 7th (Classic) | 2009 | 120 GB, 160 GB | Final classic generation; 160 GB became main option |
| iPod mini | 1st | 2004 | 4 GB, 6 GB | Smaller metal body; Click Wheel |
| iPod mini | 2nd | 2005 | 4 GB, 6 GB | Improved battery; multiple colors |
| iPod nano | 1st | 2005 | 1 GB, 2 GB, 4 GB | Ultra-thin; flash-based |
| iPod nano | 2nd | 2006 | 2 GB, 4 GB, 8 GB | Aluminum enclosure; longer battery |
| iPod shuffle | 1st | 2005 | 512 MB, 1 GB | No screen; clip-like stick |
| iPod shuffle | 2nd | 2006 | 1 GB | Tiny clip; redesigned controls |
| iPod touch | 1st | 2007 | 8 GB, 16 GB, 32 GB | Multi-touch; Wi‑Fi; iPhone-like OS |
| iPod touch | 5th | 2012 | 32 GB, 64 GB | Taller 4-inch display; Lightning connector |
