# 1998-99 Washington Capitals - NHL team profile page from WhatifSports

| Name | Brian Bellows | Craig Berube | James Black | Peter Bondra | Jan Bulis | Enrico Ciccone | Mike Eagles | Sergei Gonchar | Matt Herr | Dale Hunter | Calle Johansson | Joe Juneau | Ken Klee | Steve Konowalchuk | Kelly Miller | Dmitri Mironov | Andrei Nikolishin | Adam Oates | Michal Pivonka | Steve Poapst | Joe Reekie | Chris Simon | Jaroslav Svejkovsky | Mark Tinordi | Jeff Toms | Brendan Witt | Richard Zednik |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| POS | LW | LW | LW | RW | C | D | C | D | C | C | D | C | D | C | LW | D | C | C | C | D | D | LW | RW | D | LW | D | LW |
| GP | 76 | 66 | 75 | 66 | 38 | 43 | 52 | 53 | 30 | 50 | 67 | 63 | 78 | 45 | 62 | 46 | 73 | 59 | 36 | 22 | 73 | 23 | 25 | 48 | 21 | 54 | 49 |
| PGP | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 |
| GLS | 17 | 5 | 16 | 31 | 7 | 2 | 4 | 21 | 2 | 0 | 8 | 14 | 7 | 12 | 2 | 2 | 8 | 12 | 5 | 0 | 0 | 3 | 6 | 0 | 1 | 2 | 9 |
| AST | 19 | 4 | 14 | 24 | 16 | 0 | 2 | 10 | 2 | 5 | 21 | 27 | 13 | 12 | 5 | 14 | 27 | 42 | 6 | 0 | 10 | 7 | 8 | 6 | 5 | 5 | 8 |
| PTS | 36 | 9 | 30 | 55 | 23 | 2 | 6 | 31 | 4 | 5 | 29 | 41 | 20 | 24 | 7 | 16 | 35 | 54 | 11 | 0 | 10 | 10 | 14 | 6 | 6 | 7 | 17 |
| +/- | -12 | -7 | 5 | -1 | 3 | -6 | -5 | 1 | -7 | -7 | 10 | -3 | -9 | 0 | -5 | -5 | 0 | -1 | -6 | -8 | 11 | -4 | -2 | -6 | 0 | -6 | -6 |
| PIM | 26 | 166 | 14 | 56 | 6 | 103 | 50 | 57 | 8 | 102 | 22 | 20 | 80 | 26 | 29 | 80 | 28 | 22 | 12 | 8 | 68 | 48 | 12 | 108 | 2 | 87 | 50 |
| S | 166 | 45 | 135 | 284 | 57 | 43 | 41 | 180 | 40 | 18 | 145 | 142 | 132 | 98 | 49 | 86 | 121 | 79 | 30 | 11 | 81 | 29 | 50 | 32 | 30 | 51 | 115 |
| S% | 10.24 | 11.11 | 11.85 | 10.92 | 12.28 | 4.65 | 9.76 | 11.67 | 5.00 | 0.00 | 5.52 | 9.86 | 5.30 | 12.24 | 4.08 | 2.33 | 6.61 | 15.19 | 16.67 | 0.00 | 0.00 | 10.34 | 12.00 | 0.00 | 3.33 | 3.92 | 7.83 |
| DEF | 43 | 26 | 61 | 49 | 60 | 28 | 44 | 48 | 49 | 31 | 75 | 52 | 39 | 52 | 49 | 36 | 54 | 53 | 49 | 47 | 60 | 33 | 51 | 30 | 57 | 36 | 42 |
| Salary | $1,732,827 | $165,000 | $2,836,266 | $3,459,775 | $1,505,939 | $165,000 | $273,359 | $2,445,647 | $165,000 | $165,000 | $4,385,374 | $2,105,758 | $1,170,717 | $1,663,716 | $165,000 | $603,808 | $1,438,996 | $2,695,821 | $1,150,505 | $182,834 | $1,949,325 | $177,806 | $866,152 | $165,000 | $204,106 | $289,171 | $734,863 |
