# Heads of Government by Country (Selected) — Prime Ministers and Equivalent Offices

| Country | Head of government (current or notable) | Office title | Took office | Party/Alignment | Notes |
|---|---|---|---|---|---|
| United Kingdom | Rishi Sunak | Prime Minister | 2022 | Conservative | UK-wide office |
| England | (none) | — | — | — | England has no separate PM |
| Scotland | Humza Yousaf | First Minister | 2023 | SNP | Devolved government |
| Wales | Mark Drakeford | First Minister | 2018 | Labour | Devolved government |
| Northern Ireland | (varies) | First Minister/Deputy First Minister | — | — | Power-sharing executive |
| Ireland | Leo Varadkar | Taoiseach | 2022 | Fine Gael | Republic of Ireland |
| Canada | Justin Trudeau | Prime Minister | 2015 | Liberal | Commonwealth realm |
| Australia | Anthony Albanese | Prime Minister | 2022 | Labor | Commonwealth realm |
| New Zealand | Christopher Luxon | Prime Minister | 2023 | National | Commonwealth realm |
| India | Narendra Modi | Prime Minister | 2014 | BJP | Parliamentary republic |
