# Beijing 2008 Olympic Torch Relay Route (Selected Stops and Dates)

| Segment | City | Country/Region | Date | Venue/Route Highlight | Distance (km) | Notes |
|---|---|---|---|---|---:|---|
| Domestic | Beijing | China | 2008-08-06 | Tiananmen Square | 12 | Final rehearsal run |
| Domestic | Shanghai | China | 2008-05-23 | The Bund waterfront | 8 | Urban relay |
| Domestic | Shenzhen | China | 2008-05-30 | Civic Center | 10 | Coastal leg |
| Domestic | Hong Kong | China (SAR) | 2008-05-02 | Victoria Harbour | 9 | Special administrative region |
| Domestic | Macau | China (SAR) | 2008-05-03 | Senado Square | 6 | Historic center |
| International | London | United Kingdom | 2008-04-06 | Trafalgar Square | 10 | Large crowds |
| International | Paris | France | 2008-04-07 | Seine river route | 11 | Route adjusted |
| International | San Francisco | USA | 2008-04-09 | Embarcadero | 12 | Security changes |
| International | Tokyo | Japan | 2008-04-26 | Ginza district | 7 | Shortened route |
| International | Canberra | Australia | 2008-04-24 | City loop | 8 | Official ceremonies |
| International | New Delhi | India | 2008-04-17 | Central Delhi | 5 | Restricted attendance |
| International | Athens | Greece | 2008-03-30 | Panathenaic Stadium | 4 | Handover ceremony |
