# Currencies of Selected Asian Countries (Names Only, No ISO Codes)

| Subregion | Country | Currency name | Notes |
|---|---|---|---|
| East Asia | China | Renminbi (Yuan) | Commonly called "yuan" |
| East Asia | Japan | Yen |  |
| East Asia | South Korea | Won |  |
| Southeast Asia | Thailand | Baht |  |
| Southeast Asia | Vietnam | Dong |  |
| Southeast Asia | Indonesia | Rupiah |  |
| South Asia | India | Indian Rupee |  |
| South Asia | Pakistan | Pakistani Rupee |  |
| South Asia | Bangladesh | Taka |  |
| West Asia | Saudi Arabia | Riyal |  |
| West Asia | United Arab Emirates | Dirham |  |
| West Asia | Israel | Shekel |  |
