# Common Non-Opioid Pain Relievers (First-Line Analgesics)

| Analgesic Class | Generic Name | Common Brand Names (Examples) | Typical Use Case | Notes (Non-opioid context) |
| --- | --- | --- | --- | --- |
| Acetaminophen (analgesic/antipyretic) | Acetaminophen (Paracetamol) | Tylenol, Panadol | Mild-to-moderate pain, fever | Not an NSAID; no anti-inflammatory effect |
| NSAID (propionic acid) | Ibuprofen | Advil, Motrin | General pain, inflammation (e.g., sprains) | Common OTC NSAID |
| NSAID (propionic acid) | Naproxen | Aleve, Naprosyn | Musculoskeletal pain, dysmenorrhea | Longer-acting NSAID |
| NSAID (acetic acid) | Diclofenac | Voltaren, Cataflam | Inflammatory pain; topical or oral options | Often used as topical gel for localized pain |
| NSAID (acetic acid) | Ketorolac | Toradol | Short-term moderate-to-severe acute pain | Typically short duration due to GI/renal risk |
| NSAID (acetic acid) | Indomethacin | Indocin | Acute gout flares; inflammatory pain | Higher adverse-effect burden than some NSAIDs |
| NSAID (oxicam) | Meloxicam | Mobic | Arthritis-related pain/inflammation | More COX-2–preferential than some NSAIDs |
| NSAID (oxicam) | Piroxicam | Feldene | Chronic inflammatory pain | Long half-life; GI risk consideration |
| NSAID (fenamate) | Mefenamic acid | Ponstel | Menstrual pain (dysmenorrhea) | Often short-course |
| Salicylate NSAID | Aspirin (analgesic dosing) | Bayer, Bufferin | Pain/fever (higher doses) | Also used at low dose for antiplatelet effects (not the focus here) |
| Topical analgesic (counterirritant) | Menthol / Methyl salicylate | Bengay, Icy Hot | Local muscle/joint pain | Non-systemic option for minor pain |
| Topical analgesic (local anesthetic) | Lidocaine | Lidoderm, Aspercreme Lidocaine | Local neuropathic pain, localized pain areas | Non-opioid; patch/cream formulations |
