# Common Dog Breeds in Pop Culture  Character, Franchise, and Breed

| Category | Character/Dog Name | Franchise (Film/TV/Books) | Breed | Notes |
| --- | --- | --- | --- | --- |
| Film | Marley | Marley & Me | Labrador Retriever | Family dog; known for exuberant behavior |
| TV | Lassie | Lassie | Rough Collie | Iconic hero dog in multiple series |
| Animation | Scooby-Doo | Scooby-Doo | Great Dane | Comedy-mystery mascot |
| Film | Hooch | Turner & Hooch | Dogue de Bordeaux | Large mastiff-type partner dog |
| Film | Beethoven | Beethoven | Saint Bernard | Giant family comedy dog |
| Film | Buddy | Air Bud | Golden Retriever | Sports-themed family film dog |
| Film | Toto | The Wizard of Oz | Cairn Terrier | Dorothy’s companion |
| Film | Bruiser Woods | Legally Blonde | Chihuahua | Small companion dog |
| Books/Film | Buck | The Call of the Wild | Saint Bernard/Scotch Collie mix | Sled/working-dog story |
| TV | Eddie | Frasier | Jack Russell Terrier | Known for expressive on-screen presence |
