# Stocks - Hot Stocks | Hot Stocks Losers

| Sym | CBX.VN | QIC.VN | ONE.VN | RMC.VN | BED.VN | BPE.VN | DAP-U.VN | INP.VN | CMI.VN | FPC.VN | WED.VN | OGI.VN | AT.VN | TSM.VN | CFY.VN | MT.VN | BCM.VN | CNS.VN | PNE.VN | KAM.VN | AVE.VN | CST.VN | PVF.VN | EAG.VN | CLI.VN | MRZ.VN | SYZ.VN | JFI.VN | OPS.VN | PTG.VN | LXE.VN | KCK.VN | TLT.VN | NSP.VN | LGO.VN | EGD.VN | ATC.VN | FF.VN | APO.VN | TWM.VN | RX.VN | AUG.VN | YO.VN | PLC.VN | BOE.VN | BKM.VN | PYR.VN | APV.VN | ALV.VN | SCR.VN | LM.VN | NXT.VN | PEO.VN | EL.VN | PLU.VN | NPH.VN | SRX.VN | TRX.VN | LVL.VN | MTE.VN | SFD.VN | SKX.VN | MCI.VN | PEA.VN | IMA.VN | MIN.VN | SPY.VN | CXV.VN | KTN.VN | PJT.VN | CNX.VN | OEG.VN | NVO.VN | KXM.VN | NOT.VN | TII.VN | LSI.VN | AHI.VN | BUS.VN | GPS.VN | ROG.VN | PDP.VN | VPY.VN | LMD.VN | NXE.VN | QIS.VN | GRC-WT.VN | PEH.VN | MCR.VN | RUF-U.VN | CSX.VN | ART.VN | OML.VN | BRI.VN | LPS.VN | HME.VN | ALY.VN | IOU.VN | MCW.VN | LLG.VN |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Cortex Business Solution | Quantum International In | 01 Communique Laboratory | Reservoir Minerals Inc | Bedrocan Cannabis Corp | Brightpath Early Learnin | Xpel Technologies Corp | Input Capital Corp | C-Com Satellite Systems | Falco Resources Ltd | The Westaim Corporation | Organigram Holdings Inc | Acuityads Holdings Inc | Tasman Metals Ltd. | Changfeng Energy Inc. | Mettrum Health Corp | Bear Creek Mining Corp. | Contagious Gaming Inc | Pine Cliff Energy Ltd. | Kaminak Gold Corporation | Aveda Transport and Ener | Co2 Solutions Inc. | Partners Value Fund Inc | Eagle Hill Exploration C | Clearford Water Systems | Mirasol Resources Ltd. | Sylogist Ltd | Jemi Fibre Corp | Opsens Inc. | Pivot Technology Solutio | Leucrotta Exploration In | Kicking Horse Energy Inc | Theralase Technologies I | Naturally Splendid Enter | Largo Resources Ltd. | Energold Drilling Corp. | Atac Resources Ltd. | First Mining Finance Cor | Acasti Pharma Inc | Tidewater Midstream and | Biosyent Inc. | Auryn Resources Inc | Yoho Resources Inc | Park Lawn Corporation | Americas Petrogas Inc. | Pacific Booker Minerals | Pyrogenesis Canada Inc | Apivio Systems Inc | Alvopetro Energy Ltd | Thescore Inc | Lingo Media Corporation | Natcore Technology Inc. | People Corporation | Engagement Labs Inc | Plateau Uranium Inc | Vanc Pharmaceuticals Inc | Storm Resources Ltd | Tribute Pharmaceuticals | Lynden Energy Corp. | Mitra Energy Inc | Nxt Energy Solutions Inc | Striker Exploration Corp | Minnova Corp | Petrolia Inc. | I-Minerals Inc. | Excelsior Mining Corp | Sprylogics International | Convalo Health Internati | Kootenay Silver Inc | Partner Jet Corp. | Callinex Mines Inc | Onenergy Inc | Novo Resources Corp | Kobex Capital Corp | Noront Resources Ltd. | Terra Firma Capital Corp | Lonestar West Inc. | Agility Health Inc | Grande West Transportati | Bsm Technologies Inc | Roxgold Inc. | Pediapharm Inc | Versapay Corporation | Led Medical Diagnostics | Nexgen Energy Ltd | Quorum Information Techn | Grenville Strategic Roya | Primeline Energy Holding | Macro Enterprises Inc. | Pure Multi Family REIT L | Clean Seed Capital Group | Arht Media Inc | Omni-Lite Industries Can | Brazil Resources Inc | Legend Power Systems Inc | Hemisphere Energy Corpor | Analytixinsight Inc | Iou Financial Inc | Mcw Energy Group Limited | Mason Graphite Inc |
| Std Dev | -2.76 | -2.38 | -2.23 | -1.86 | -1.77 | -1.76 | -1.58 | -1.41 | -1.40 | -1.37 | -1.35 | -1.22 | -1.17 | -1.15 | -1.15 | -1.14 | -1.07 | -1.04 | -0.99 | -0.99 | -0.98 | -0.96 | -0.93 | -0.86 | -0.85 | -0.85 | -0.84 | -0.76 | -0.74 | -0.72 | -0.70 | -0.67 | -0.66 | -0.66 | -0.65 | -0.64 | -0.60 | -0.57 | -0.56 | -0.50 | -0.48 | -0.47 | -0.47 | -0.44 | -0.44 | -0.38 | -0.37 | -0.35 | -0.34 | -0.32 | -0.30 | -0.26 | -0.25 | -0.24 | -0.24 | -0.24 | -0.22 | -0.17 | -0.15 | -0.13 | -0.12 | -0.09 | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch |
| Last | 1.600 | 0.340 | 0.440 | 4.000 | 0.790 | 0.325 | 3.320 | 2.290 | 1.000 | 0.325 | 3.080 | 0.340 | 0.880 | 0.450 | 0.360 | 1.550 | 0.740 | 0.290 | 1.160 | 0.640 | 2.640 | 0.250 | 35.500 | 0.730 | 0.440 | 0.830 | 7.320 | 0.410 | 0.790 | 0.550 | 1.000 | 3.100 | 0.320 | 0.390 | 0.670 | 0.530 | 0.375 | 0.370 | 0.480 | 1.800 | 6.850 | 1.180 | 0.300 | 11.750 | 0.280 | 1.810 | 0.365 | 0.435 | 0.375 | 0.530 | 0.270 | 0.465 | 3.410 | 0.400 | 0.325 | 0.360 | 4.020 | 2.080 | 0.375 | 0.340 | 2.190 | 1.800 | 0.280 | 0.390 | 0.280 | 0.270 | 0.290 | 0.335 | 0.300 | 0.700 | 0.330 | 0.800 | 0.520 | 0.490 | 0.420 | 0.760 | 1.290 | 0.340 | 0.750 | 0.930 | 0.610 | 0.270 | 1.170 | 0.260 | 0.650 | 0.300 | 0.400 | 0.420 | 2.390 | 4.950 | 0.470 | 0.350 | 1.600 | 0.600 | 0.300 | 0.255 | 0.310 | 0.450 | 0.500 | 0.430 |
| Change | -0.400 | -0.035 | -0.015 | -0.180 | -0.020 | -0.035 | -0.120 | -0.040 | -0.040 | unch | -0.050 | -0.010 | -0.070 | -0.030 | -0.015 | -0.100 | -0.030 | -0.010 | -0.040 | -0.020 | -0.040 | -0.015 | -1.000 | -0.020 | -0.030 | -0.020 | -0.180 | -0.020 | -0.020 | unch | -0.020 | -0.050 | unch | -0.015 | -0.020 | unch | -0.010 | -0.010 | unch | -0.030 | -0.060 | -0.020 | -0.010 | -0.100 | -0.005 | -0.140 | -0.005 | -0.005 | -0.010 | -0.010 | -0.010 | -0.015 | -0.040 | unch | -0.005 | -0.005 | -0.050 | +0.020 | -0.005 | -0.010 | -0.010 | -0.010 | unch | unch | unch | unch | unch | +0.005 | -0.015 | unch | unch | unch | unch | unch | unch | unch | +0.040 | +0.020 | unch | unch | unch | -0.010 | unch | unch | unch | unch | unch | unch | -0.110 | unch | unch | unch | +0.030 | +0.020 | unch | unch | unch | unch | unch | -0.010 |
| Percent | -20.00% | -9.33% | -3.30% | -4.31% | -2.47% | -9.72% | -3.49% | -1.72% | -3.85% | unch | -1.60% | -2.86% | -7.37% | -6.25% | -4.00% | -6.06% | -3.90% | -3.33% | -3.33% | -3.03% | -1.49% | -5.66% | -2.74% | -2.67% | -6.38% | -2.35% | -2.40% | -4.65% | -2.47% | unch | -1.96% | -1.59% | unch | -3.70% | -2.90% | unch | -2.60% | -2.63% | unch | -1.64% | -0.87% | -1.67% | -3.23% | -0.84% | -1.75% | -7.18% | -1.35% | -1.14% | -2.60% | -1.85% | -3.57% | -3.12% | -1.16% | unch | -1.52% | -1.37% | -1.23% | +0.97% | -1.32% | -2.86% | -0.45% | -0.55% | unch | unch | unch | unch | unch | +1.52% | -4.76% | unch | unch | unch | unch | unch | unch | unch | +3.20% | +6.25% | unch | unch | unch | -3.57% | unch | unch | unch | unch | unch | unch | -4.40% | unch | unch | unch | +1.91% | +3.45% | unch | unch | unch | unch | unch | -2.27% |
| High | 1.750 | 0.375 | 0.450 | 4.200 | 0.810 | 0.360 | 3.390 | 2.330 | 1.010 | 0.325 | 3.150 | 0.350 | 0.950 | 0.450 | 0.370 | 1.550 | 0.760 | 0.310 | 1.240 | 0.680 | 2.740 | 0.270 | 36.500 | 0.750 | 0.465 | 0.830 | 7.550 | 0.410 | 0.810 | 0.560 | 1.010 | 3.100 | 0.325 | 0.405 | 0.670 | 0.570 | 0.400 | 0.380 | 0.480 | 1.810 | 7.150 | 1.200 | 0.310 | 12.050 | 0.285 | 1.850 | 0.380 | 0.440 | 0.390 | 0.540 | 0.280 | 0.490 | 3.500 | 0.435 | 0.325 | 0.375 | 4.150 | 2.120 | 0.375 | 0.375 | 2.250 | 1.890 | 0.280 | 0.395 | 0.280 | 0.290 | 0.295 | 0.355 | 0.315 | 0.700 | 0.330 | 0.800 | 0.520 | 0.490 | 0.440 | 0.760 | 1.290 | 0.340 | 0.760 | 0.930 | 0.620 | 0.310 | 1.170 | 0.260 | 0.680 | 0.300 | 0.410 | 0.420 | 2.500 | 5.000 | 0.470 | 0.360 | 1.600 | 0.600 | 0.300 | 0.255 | 0.315 | 0.450 | 0.520 | 0.450 |
| Low | 1.500 | 0.335 | 0.440 | 3.970 | 0.790 | 0.325 | 3.290 | 2.210 | 1.000 | 0.300 | 3.000 | 0.335 | 0.860 | 0.440 | 0.360 | 1.550 | 0.720 | 0.280 | 1.160 | 0.640 | 2.520 | 0.250 | 35.500 | 0.730 | 0.440 | 0.820 | 7.300 | 0.410 | 0.790 | 0.540 | 0.960 | 3.000 | 0.310 | 0.390 | 0.640 | 0.510 | 0.370 | 0.360 | 0.450 | 1.800 | 6.800 | 1.160 | 0.300 | 11.750 | 0.255 | 1.800 | 0.360 | 0.435 | 0.375 | 0.520 | 0.270 | 0.465 | 3.410 | 0.390 | 0.305 | 0.340 | 4.000 | 2.000 | 0.370 | 0.340 | 2.150 | 1.720 | 0.280 | 0.370 | 0.280 | 0.250 | 0.280 | 0.330 | 0.300 | 0.700 | 0.330 | 0.800 | 0.520 | 0.490 | 0.420 | 0.750 | 1.250 | 0.320 | 0.750 | 0.930 | 0.600 | 0.265 | 1.170 | 0.260 | 0.650 | 0.300 | 0.400 | 0.420 | 2.390 | 4.940 | 0.470 | 0.350 | 1.570 | 0.570 | 0.300 | 0.250 | 0.295 | 0.450 | 0.500 | 0.420 |
| Time | 15:54 | 15:40 | 09:58 | 15:58 | 15:46 | 15:57 | 15:54 | 15:56 | 15:06 | 15:57 | 15:56 | 15:46 | 15:39 | 12:01 | 15:30 | 09:30 | 14:45 | 12:50 | 15:58 | 15:57 | 15:55 | 15:51 | 15:50 | 15:23 | 10:56 | 15:34 | 14:12 | 14:39 | 15:30 | 15:56 | 15:47 | 15:00 | 15:55 | 15:42 | 11:38 | 15:47 | 14:56 | 15:56 | 15:46 | 14:47 | 15:28 | 15:04 | 14:40 | 15:47 | 15:58 | 15:21 | 12:15 | 13:14 | 11:51 | 15:51 | 15:43 | 15:57 | 15:56 | 15:57 | 15:52 | 15:58 | 15:57 | 15:57 | 14:09 | 15:52 | 15:38 | 15:57 | 10:41 | 15:32 | 13:43 | 15:38 | 15:58 | 15:57 | 15:41 | 13:05 | 15:57 | 10:22 | 12:45 | 12:52 | 14:06 | 11:54 | 15:43 | 15:57 | 14:13 | 13:06 | 15:00 | 15:57 | 10:59 | 13:49 | 15:56 | 15:34 | 10:39 | 11:03 | 15:47 | 15:13 | 14:11 | 13:22 | 15:46 | 15:51 | 15:06 | 14:17 | 15:16 | 09:43 | 11:38 | 15:41 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
