# Global Christianity Breakdown by Denomination (Not a Country-by-Country View)

| Denomination family | Sub-branch | Estimated adherents (millions) | Share of Christians (%) | Notes |
|---|---|---:|---:|---|
| Catholic | Latin Church | 1200 | 50.0 | Includes most of Europe & Americas |
| Catholic | Eastern Catholic | 18 | 0.8 | Multiple rites |
| Orthodox | Eastern Orthodox | 220 | 9.2 | Autocephalous churches |
| Orthodox | Oriental Orthodox | 60 | 2.5 | Coptic, Armenian, etc. |
| Protestant | Evangelical | 300 | 12.5 | Broad category |
| Protestant | Mainline | 200 | 8.3 | Historic denominations |
| Anglican | Communion | 85 | 3.5 | Global communion |
| Restorationist | Latter-day Saints | 17 | 0.7 | LDS |
| Independent | Non-denominational | 250 | 10.4 | Independent networks |
| Other | Assyrian/Ancient Churches | 2 | 0.1 | Small ancient communities |
