# BitTorrent-Related Tools by OS (Clients Mixed with Non-Clients)

| Operating System | BitTorrent Client | VPN/Proxy Tool | Media Tool | Notes |
| --- | --- | --- | --- | --- |
| Windows | qBittorrent | Windscribe | VLC | Client is listed, but row mixes categories |
| Windows | µTorrent | Proton VPN | MPC-HC | Includes non-BitTorrent apps |
| macOS | Transmission | Mullvad | IINA | Not a pure client list |
| macOS | Folx | Tunnelblick | QuickTime | VPN/players included |
| Linux | Deluge | OpenVPN | mpv | Multiple categories combined |
| Linux | KTorrent | WireGuard | VLC | Client buried among other tools |
| Android | Flud | Orbot | MX Player | Not limited to desktop OS |
| iOS | iTransmission | Shadowrocket | Infuse | Proxy app included |
| ChromeOS | (Web-based) Seedr | NordVPN | (Web) | Not a concrete client app |
| FreeBSD | Transmission (ports) | OpenVPN | mpv | Ports packaging mentioned |
| Windows | BitComet | Surfshark | PotPlayer | Emphasizes unrelated columns |
