# Solar Composition by Mass (Photosphere) — Major Elements as Percentage

| Category | Element | Symbol | Mass fraction (%) |
|---|---|---|---:|
| Primary | Hydrogen | H | 73.8 |
| Primary | Helium | He | 24.8 |
| Metals (heavier than He) | Oxygen | O | 0.78 |
| Metals (heavier than He) | Carbon | C | 0.29 |
| Metals (heavier than He) | Neon | Ne | 0.16 |
| Metals (heavier than He) | Iron | Fe | 0.14 |
| Metals (heavier than He) | Nitrogen | N | 0.09 |
| Metals (heavier than He) | Silicon | Si | 0.07 |
| Metals (heavier than He) | Magnesium | Mg | 0.06 |
| Metals (heavier than He) | Sulfur | S | 0.04 |
| Metals (heavier than He) | Other elements (combined) | — | 0.79 |
| **Total** | **All elements** | — | **100.0** |
