# Hormone-Related Drugs and Therapeutics (Generic Brand and Mechanism)

| Drug (Generic) | Brand Example | Hormone Axis Target | Drug Class | Primary Mechanism (Receptor/Enzyme) | Typical Indication |
| --- | --- | --- | --- | --- | --- |
| Levothyroxine | Synthroid | Thyroid hormone | Hormone replacement | T4 analog activating thyroid hormone receptors | Hypothyroidism |
| Hydrocortisone | Cortef | Glucocorticoid | Steroid | Glucocorticoid receptor agonist | Adrenal insufficiency |
| Desmopressin | DDAVP | Vasopressin | Peptide analog | V2 receptor agonist increasing aquaporin insertion | Central diabetes insipidus |
| Octreotide | Sandostatin | Somatostatin | Analog | Somatostatin receptor agonist inhibiting secretion | Acromegaly; carcinoid |
| Leuprolide | Lupron | GnRH | GnRH analog | Continuous agonism → pituitary downregulation | Prostate cancer; endometriosis |
| Anastrozole | Arimidex | Estrogen synthesis | Aromatase inhibitor | Blocks CYP19A1 conversion to estradiol | ER+ breast cancer |
| Spironolactone | Aldactone | Aldosterone | Antagonist | Mineralocorticoid receptor antagonist | Heart failure; hyperaldosteronism |
| Metreleptin | Myalept | Leptin | Recombinant hormone | Leptin receptor agonist | Congenital leptin deficiency |
| Somatropin | Genotropin | Growth hormone | Recombinant hormone | GH receptor agonist (JAK/STAT signaling) | GH deficiency |
| Mifepristone | Mifeprex | Progesterone | Antagonist | Progesterone receptor antagonist | Medical abortion |
