# iPod family comparison (shuffle, nano, touch)  model variants and built-in hardware options

| Product line | Generation (marketing) | Release year | Storage options (built-in) | Screen | Controls / input | Notable built-in features |
|---|---|---:|---|---|---|---|
| iPod shuffle | 1st gen | 2005 | 512 MB, 1 GB | null | Headphone-cable remote (early), physical buttons | Ultra-small flash player |
| iPod shuffle | 2nd gen | 2006 | 1 GB | null | Physical buttons + clip | Clip design; flash storage |
| iPod shuffle | 3rd gen | 2009 | 2 GB, 4 GB | null | VoiceOver buttons on headphone cable | VoiceOver; smallest shuffle |
| iPod shuffle | 4th gen | 2010 | 2 GB | null | Physical buttons + clip | Buttons returned; VoiceOver |
| iPod nano | 3rd gen | 2007 | 4 GB, 8 GB | 2.0 in (color) | Click Wheel | Video playback on nano line |
| iPod nano | 4th gen | 2008 | 8 GB, 16 GB | 2.0 in (color) | Click Wheel | Taller screen; accelerometer |
| iPod nano | 5th gen | 2009 | 8 GB, 16 GB | 2.2 in (color) | Click Wheel | Video camera + FM radio (region dependent) |
| iPod nano | 6th gen | 2010 | 8 GB, 16 GB | 1.54 in (touch) | Multi-touch | Clip-on; app-style icons |
| iPod nano | 7th gen | 2012 | 16 GB | 2.5 in (touch) | Multi-touch + Home button | Bluetooth audio; Lightning connector |
| iPod touch | 4th gen | 2010 | 8 GB, 32 GB, 64 GB | 3.5 in (multi-touch) | Multi-touch | Front/rear cameras; Wi‑Fi media device |
| iPod touch | 5th gen | 2012 | 16 GB, 32 GB, 64 GB | 4.0 in (multi-touch) | Multi-touch | Taller display; Lightning connector |
| iPod touch | 6th gen | 2015 | 16 GB, 32 GB, 64 GB, 128 GB | 4.0 in (multi-touch) | Multi-touch | Faster SoC generation; improved cameras |
