# PGA Tour Event Leaderboard (Live) — Round-by-Round Scores and Total

| Position | Player | Total (to par) | Thru | R1 | R2 | R3 | R4 | Today |
|---|---|---:|---:|---:|---:|---:|---:|---:|
| 1 | Scottie Scheffler | -14 | 16 | 68 | 66 | 67 | 69 | -3 |
| 2 | Rory McIlroy | -12 | 17 | 69 | 67 | 66 | 70 | -2 |
| T3 | Xander Schauffele | -10 | F | 70 | 68 | 66 | 70 | -1 |
| T3 | Collin Morikawa | -10 | 15 | 67 | 70 | 68 | 70 | -2 |
| 5 | Viktor Hovland | -9 | F | 71 | 66 | 69 | 69 | -2 |
| T6 | Hideki Matsuyama | -8 | 14 | 70 | 69 | 67 | 71 | E |
| T6 | Justin Thomas | -8 | F | 68 | 71 | 68 | 69 | -3 |
| 8 | Jordan Spieth | -7 | 13 | 72 | 67 | 69 | 71 | +1 |
| T9 | Max Homa | -6 | F | 69 | 70 | 70 | 69 | -1 |
| T9 | Tony Finau | -6 | 12 | 70 | 68 | 71 | 71 | +2 |
