# Broad Anti-Infective Drug List Across Virus, Bacteria, and Fungi (Not Focused on Antifungal Therapy)

| Drug class | Example agents | Main targets | Example indications | Key caution |
|---|---|---|---|---|
| Penicillins | Amoxicillin, piperacillin-tazobactam | Bacteria | Pneumonia, intra-abdominal infection | Allergy, C. difficile risk |
| Cephalosporins | Ceftriaxone, cefepime | Bacteria | Sepsis, meningitis | Renal dosing in some cases |
| Fluoroquinolones | Levofloxacin, ciprofloxacin | Bacteria | UTI, pneumonia | Tendinopathy, QT prolongation |
| Macrolides | Azithromycin, clarithromycin | Bacteria | Atypical pneumonia | QT prolongation, interactions |
| Antivirals (HSV) | Acyclovir, valacyclovir | Viruses | Herpes labialis/genitalis | Renal dosing |
| Antivirals (HIV) | Tenofovir, lamivudine | Viruses | HIV treatment | Resistance monitoring |
| Antifungals (azoles) | Fluconazole, itraconazole | Fungi | Candidiasis, onychomycosis | Hepatotoxicity, interactions |
| Antifungals (echinocandins) | Caspofungin, micafungin | Fungi | Invasive Candida | IV only |
| Antiparasitics | Metronidazole, albendazole | Protozoa/helminths | Giardiasis, helminths | Pregnancy restrictions vary |
