# 2008-09 NHL Season Summary | Hockey-Reference.com

| Rk | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 30 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | San Jose Sharks* | Boston Bruins* | Detroit Red Wings* | Washington Capitals* | New Jersey Devils* | Chicago Blackhawks* | Vancouver Canucks* | Pittsburgh Penguins* | Philadelphia Flyers* | Calgary Flames* | Carolina Hurricanes* | New York Rangers* | Florida Panthers | Montreal Canadiens* | St. Louis Blues* | Columbus Blue Jackets* | Buffalo Sabres | Anaheim Ducks* | Minnesota Wild | Nashville Predators | Edmonton Oilers | Dallas Stars | Ottawa Senators | Toronto Maple Leafs | Los Angeles Kings | Phoenix Coyotes | Atlanta Thrashers | Colorado Avalanche | Tampa Bay Lightning | New York Islanders | League Average |
| AvAge | 28.7 | 28.4 | 31.2 | 27.2 | 30.3 | 25.9 | 27.9 | 26.6 | 27.0 | 28.9 | 27.9 | 27.0 | 28.6 | 27.6 | 27.1 | 25.8 | 28.1 | 29.2 | 27.7 | 27.6 | 28.8 | 28.5 | 27.9 | 28.0 | 25.5 | 26.6 | 27.9 | 28.6 | 27.4 | 27.7 | 27.9 |
| GP | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 |
| W | 53 | 53 | 51 | 50 | 51 | 46 | 45 | 45 | 44 | 46 | 45 | 43 | 41 | 41 | 41 | 41 | 41 | 42 | 40 | 40 | 38 | 36 | 36 | 34 | 34 | 36 | 35 | 32 | 24 | 26 | 41 |
| L | 18 | 19 | 21 | 24 | 27 | 24 | 27 | 28 | 27 | 30 | 30 | 30 | 30 | 30 | 31 | 31 | 32 | 33 | 33 | 34 | 35 | 35 | 35 | 35 | 37 | 39 | 41 | 45 | 40 | 47 | 32 |
| OL | 11 | 10 | 10 | 8 | 4 | 12 | 10 | 9 | 11 | 6 | 7 | 9 | 11 | 11 | 10 | 10 | 9 | 7 | 9 | 8 | 9 | 11 | 11 | 13 | 11 | 7 | 6 | 5 | 18 | 9 | 9 |
| PTS | 117 | 116 | 112 | 108 | 106 | 104 | 100 | 99 | 99 | 98 | 97 | 95 | 93 | 93 | 92 | 92 | 91 | 91 | 89 | 88 | 85 | 83 | 83 | 81 | 79 | 79 | 76 | 69 | 66 | 61 | 91 |
| PTS% | .713 | .707 | .683 | .659 | .646 | .634 | .610 | .604 | .604 | .598 | .591 | .579 | .567 | .567 | .561 | .561 | .555 | .555 | .543 | .537 | .518 | .506 | .506 | .494 | .482 | .482 | .463 | .421 | .402 | .372 | .557 |
| GF | 257 | 274 | 295 | 272 | 244 | 264 | 246 | 264 | 264 | 254 | 239 | 210 | 234 | 249 | 233 | 226 | 250 | 245 | 219 | 213 | 234 | 230 | 217 | 250 | 207 | 208 | 257 | 199 | 210 | 201 | 239 |
| GA | 204 | 196 | 244 | 245 | 209 | 216 | 220 | 239 | 238 | 248 | 226 | 218 | 231 | 247 | 233 | 230 | 234 | 238 | 200 | 233 | 248 | 257 | 237 | 293 | 234 | 252 | 280 | 257 | 279 | 279 | 239 |
| SRS | 0.61 | 0.89 | 0.62 | 0.27 | 0.38 | 0.60 | 0.30 | 0.28 | 0.28 | 0.07 | 0.11 | -0.10 | 0.00 | 0.02 | 0.05 | -0.01 | 0.18 | 0.09 | 0.22 | -0.19 | -0.16 | -0.30 | -0.23 | -0.49 | -0.29 | -0.50 | -0.30 | -0.66 | -0.81 | -0.91 | 0.00 |
| SOS | -0.04 | -0.06 | 0.00 | -0.06 | -0.05 | 0.01 | -0.02 | -0.02 | -0.04 | 0.00 | -0.05 | -0.01 | -0.04 | -0.01 | 0.05 | 0.04 | -0.02 | 0.00 | -0.02 | 0.06 | 0.01 | 0.03 | 0.01 | 0.03 | 0.04 | 0.04 | -0.02 | 0.05 | 0.03 | 0.05 | 0.00 |
| TG/G | 5.62 | 5.73 | 6.57 | 6.30 | 5.52 | 5.85 | 5.68 | 6.13 | 6.12 | 6.12 | 5.67 | 5.22 | 5.67 | 6.05 | 5.68 | 5.56 | 5.90 | 5.89 | 5.11 | 5.44 | 5.88 | 5.94 | 5.54 | 6.62 | 5.38 | 5.61 | 6.55 | 5.56 | 5.96 | 5.85 | 5.83 |
| PP | 87 | 74 | 90 | 85 | 58 | 70 | 67 | 62 | 71 | 61 | 70 | 48 | 51 | 72 | 72 | 41 | 75 | 73 | 66 | 50 | 60 | 54 | 66 | 62 | 69 | 50 | 69 | 50 | 61 | 54 | 65 |
| PPO | 360 | 313 | 353 | 337 | 307 | 363 | 357 | 360 | 316 | 358 | 374 | 346 | 308 | 374 | 351 | 322 | 358 | 309 | 328 | 318 | 354 | 351 | 339 | 330 | 360 | 341 | 357 | 318 | 343 | 320 | 341 |
| PP% | 24.17 | 23.64 | 25.50 | 25.22 | 18.89 | 19.28 | 18.77 | 17.22 | 22.47 | 17.04 | 18.72 | 13.87 | 16.56 | 19.25 | 20.51 | 12.73 | 20.95 | 23.62 | 20.12 | 15.72 | 16.95 | 15.38 | 19.47 | 18.79 | 19.17 | 14.66 | 19.33 | 15.72 | 17.78 | 16.88 | 18.95 |
| PPA | 51 | 54 | 71 | 75 | 65 | 64 | 69 | 60 | 67 | 58 | 59 | 40 | 54 | 65 | 58 | 62 | 61 | 78 | 36 | 59 | 76 | 70 | 64 | 78 | 62 | 68 | 88 | 64 | 89 | 73 | 65 |
