# Area of Irish counties (Republic of Ireland and Northern Ireland)

| County | Province | Area (km²) | Notes |
|---|---|---:|---|
| Cork | Munster | 7490 | Republic of Ireland |
| Galway | Connacht | 6148 | Republic of Ireland |
| Mayo | Connacht | 5590 | Republic of Ireland |
| Donegal | Ulster | 4861 | Republic of Ireland |
| Kerry | Munster | 4807 | Republic of Ireland |
| Tyrone | Ulster | 3265 | Northern Ireland |
| Antrim | Ulster | 3046 | Northern Ireland |
| Down | Ulster | 2466 | Northern Ireland |
| Wexford | Leinster | 2365 | Republic of Ireland |
| Louth | Leinster | 826 | Republic of Ireland |
