# Food Court Directory by Venue Type (with Signature Items)

| Venue | Venue Type | Signature Food Item | Category of Item | Notes |
|---|---|---|---|---|
| Central Mall Food Court | Shopping mall | Pretzel bites | Snack | Served warm at kiosks |
| Airport Terminal B Concourse | Airport | Breakfast burrito | Prepared food | Common grab-and-go option |
| University Dining Hall | Campus cafeteria | Caesar salad | Salad | Often offered as a standard side |
| Downtown Night Market | Market | Takoyaki | Street food | Typically sold from stalls |
| Highway Service Plaza | Rest stop | Fried chicken sandwich | Sandwich | Frequently available at chains |
| Sports Arena Concessions | Stadium | Nachos | Snack | Sold at concession stands |
| Hospital Cafeteria | Institutional cafeteria | Vegetable soup | Soup | Rotates daily |
| Train Station Convenience Counter | Transit station | Yogurt cup | Dairy snack | Refrigerated single-serve |
| Community Festival Booths | Event | Cotton candy | Sweet | Seasonal/fair treat |
| Hotel Breakfast Buffet | Hotel | Waffles | Breakfast food | Self-serve in many hotels |
