# Olympus Four Thirds Digital SLR Bodies (E-System)  Model List and Key Specs

| Model | Series / Line | Release year | Sensor format | Sensor size class | Image stabilization | Viewfinder type | Key features (high level) |
|---|---|---:|---|---|---|---|---|
| E-1 | E-System (Pro) | 2003 | Four Thirds | 4/3" | null (lens-based only) | Optical pentaprism | Weather-sealed pro body; designed for Zuiko Digital lenses |
| E-300 | E-System (Standard) | 2004 | Four Thirds | 4/3" | null | Optical | Distinctive flat-top design; compact DSLR for its time |
| E-330 | E-System (Standard) | 2006 | Four Thirds | 4/3" | null | Optical | Early Live View implementation (DSLR live preview) |
| E-400 | E-System (Entry) | 2006 | Four Thirds | 4/3" | null | Optical | Very small/light DSLR body; simplified control layout |
| E-410 | E-System (Entry) | 2007 | Four Thirds | 4/3" | null | Optical | Live View; dust reduction system; compact body |
| E-510 | E-System (Entry) | 2007 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical | First Olympus DSLR with in-body IS; Live View |
| E-3 | E-System (Pro) | 2007 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical pentaprism | Weather-sealed; fast AF for its era; articulated LCD |
| E-420 | E-System (Entry) | 2008 | Four Thirds | 4/3" | null | Optical | Ultra-compact DSLR; Live View; travel-friendly |
| E-520 | E-System (Entry) | 2008 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical | In-body IS; Live View; improved handling vs E-420 |
| E-30 | E-System (Advanced Amateur) | 2008 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical | Articulated LCD; advanced metering/processing options |
| E-620 | E-System (Advanced Amateur) | 2009 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical | Compact body with articulated LCD; in-body IS |
| E-5 | E-System (Pro) | 2010 | Four Thirds | 4/3" | In-body (sensor-shift) | Optical pentaprism | Weather-sealed flagship; robust ergonomics; pro controls |
