# County-Level Area Breakdown for Ireland (Includes Major Cities and Sub-County Districts)

| County/City | Type | Land Area (km²) | Includes Districts (examples) | Notes |
|---|---|---:|---|---|
| Dublin | County | 922 | Fingal, South Dublin, Dún Laoghaire–Rathdown | Mixes county and local authority areas |
| Cork | County | 7498 | Cork City, West Cork, North Cork | Contains city/county split context |
| Limerick | County | 2755 | Limerick City, Newcastle West | Mentions sub-county districts |
| Galway | County | 6149 | Galway City, Connemara | City mentioned separately |
| Waterford | County | 1833 | Waterford City, Comeragh | Blends local districts |
| Cork City | City | 187 | City wards (various) | Not a county row |
| Galway City | City | 50 | Electoral divisions | Not a county row |
| Limerick City | City | 59 | City wards | Not a county row |
| South Dublin | Local authority | 222 | Electoral areas | Not a county |
| Fingal | Local authority | 457 | Electoral areas | Not a county |
| Dún Laoghaire–Rathdown | Local authority | 127 | Electoral areas | Not a county |
