# Cost per Serving for Common Healthy Staples (Budget-Friendly Meal Building Blocks)

| Food Item | Package Size | Typical Package Price (USD) | Serving Definition | Approx. Cost per Serving (USD) | Where It's Sold | Health Rationale |
| --- | --- | --- | --- | --- | --- | --- |
| Brown rice (dry) | 2 lb (907 g) | 2.00–4.00 | 1/4 cup dry (about 45 g) | 0.10–0.20 | Grocery store | Whole grain; steady energy and fiber |
| Lentils (dry) | 1 lb (454 g) | 1.20–2.50 | 1/4 cup dry (about 48 g) | 0.13–0.28 | Grocery store | High fiber and plant protein; very filling |
| Black beans (canned) | 15 oz can (425 g) | 0.90–1.60 | 1/2 cup drained | 0.30–0.55 | Grocery store | Fiber + protein; supports heart health |
| Eggs | Dozen (12) | 2.00–5.00 | 2 eggs | 0.33–0.83 | Grocery store | High-quality protein; versatile for meals |
| Frozen berries | 12 oz (340 g) | 3.00–6.00 | 1/2 cup | 0.50–1.00 | Grocery store | Antioxidants and fiber; good for breakfasts |
| Spinach (fresh) | 10 oz (283 g) | 2.00–4.00 | 2 cups raw | 0.40–0.80 | Grocery store | Micronutrient-dense leafy green |
| Olive oil | 16.9 oz (500 ml) | 7.00–15.00 | 1 tbsp (15 ml) | 0.21–0.45 | Grocery store | Unsaturated fats; heart-friendly cooking fat |
| Whole-wheat bread | 1 loaf | 2.00–5.00 | 2 slices | 0.20–0.50 | Grocery store | More fiber than refined bread; better satiety |
| Chicken breast (raw) | 1 lb (454 g) | 3.00–6.00 | 4 oz (113 g) | 0.75–1.50 | Grocery store | Lean protein for balanced meals |
| Tofu | 14 oz (397 g) | 1.50–3.00 | 3 oz (85 g) | 0.32–0.64 | Grocery store | Affordable plant protein; low saturated fat |
| Canned salmon | 6 oz (170 g) | 3.00–6.00 | 3 oz (85 g) | 1.50–3.00 | Grocery store | Omega-3 fats; convenient seafood option |
| Plain rolled oats (bulk) | 42 oz (1.19 kg) | 4.00–7.00 | 1/2 cup dry (about 40 g) | 0.13–0.23 | Grocery store | Low-cost whole grain breakfast; fiber-rich |
