# Solar Photospheric Composition (Selected Elements) — Mass Fraction and Number Abundance

| Category | Element | Symbol | Mass fraction (approx.) | Number fraction (relative to total atoms, approx.) | Notes |
|---|---|---:|---:|---:|---|
| Major constituents | Hydrogen | H | 0.738 | 0.920 | Dominant by number and mass |
| Major constituents | Helium | He | 0.248 | 0.078 | Second most abundant element |
| Metals (trace) | Oxygen | O | 0.0096 | 0.00049 | Most abundant metal by mass |
| Metals (trace) | Carbon | C | 0.0030 | 0.00027 | Major contributor to solar metallicity |
| Metals (trace) | Neon | Ne | 0.0015 | 0.00010 | Noble gas; abundance inferred indirectly |
| Metals (trace) | Iron | Fe | 0.0013 | 0.000031 | Important for opacity |
| Metals (trace) | Nitrogen | N | 0.0010 | 0.000083 | CNO-cycle relevant element |
| Metals (trace) | Silicon | Si | 0.00065 | 0.000028 | Representative refractory element |
| Metals (trace) | Magnesium | Mg | 0.00058 | 0.000026 | Alpha element |
| Metals (trace) | Sulfur | S | 0.00040 | 0.000013 | Volatile metal |
| Metals (trace) | Calcium | Ca | 0.000061 | 0.0000021 | Low abundance, measurable lines |
| Metals (trace) | Nickel | Ni | 0.000074 | 0.0000016 | Tracks Fe-peak chemistry |
| Metals (trace) | Sodium | Na | 0.000020 | 0.0000009 | Alkali metal |
| Metals (trace) | Aluminum | Al | 0.000056 | 0.0000023 | Refractory metal |
| Metals (trace) | Argon | Ar | 0.000070 | 0.0000017 | Noble gas; often reported with Ne |
| Summary | Metals total (Z) | — | 0.013–0.015 | — | Sum of all elements heavier than He |
