# Top Museums in California (Statewide Ranking Table)

| Rank | Museum / Site | City | Score | State |
|---:|---|---|---:|---|
| 1 | Oakland Museum of California | Oakland | 2114 | California |
| 2 | California Academy of Sciences | San Francisco | 1766 | California |
| 3 | Los Angeles County Museum of Art | Los Angeles | 1269 | California |
| 4 | de Young Museum | San Francisco | 727 | California |
| 5 | Museum of Contemporary Art | Los Angeles | 726 | California |
| 6 | San Francisco Museum of Modern Art | San Francisco | 680 | California |
| 7 | Hearst Castle | San Simeon | 664 | California |
| 8 | Joshua Tree National Park | Joshua Tree | 641 | California |
| 9 | California Science Center | Los Angeles | 613 | California |
| 10 | Discovery Center | Sacramento | 528 | California |
| 11 | California Hall of Fame | Sacramento | 526 | California |
| 12 | Heartland (Exhibit) | Various | 507 | California |
