# Household Cleaning Agents  Concentration Alongside Recommended Contact Time and Surface Compatibility

| Product type | Active ingredient | Stated concentration (% w/w or % v/v) | Typical dilution for household use | Recommended contact time (min) | Suitable surfaces | Notes |
|---|---|---:|---|---:|---|---|
| Chlorine bleach | Sodium hypochlorite | 5.25% | 1:10 with water | 10 | Tile, plastic | Avoid mixing with acids/ammonia |
| Concentrated bleach | Sodium hypochlorite | 8.25% | 1:20 with water | 5 | Hard non-porous | Higher corrosion risk |
| White vinegar | Acetic acid | 5% | Use undiluted | 5 | Glass, countertops | Not a registered disinfectant |
| Hydrogen peroxide solution | Hydrogen peroxide | 3% | Use undiluted | 1 | Hard surfaces | Light-sensitive storage |
| Rubbing alcohol | Isopropyl alcohol | 70% v/v | Use undiluted | 1 | Electronics wipes | Flammable |
| Ammonia cleaner | Ammonium hydroxide | 5% | 1:5 with water | 5 | Floors, glass | Strong fumes |
| Dish soap | Sodium laureth sulfate | 3% | Few mL per liter | 0 | Dishes | Primarily surfactant cleaning |
| Drain opener | Sodium hydroxide | 30% | Do not dilute | 15 | Drains only | Severe burn hazard |
| Toilet bowl cleaner | Hydrochloric acid | 10% | Use as directed | 10 | Toilet porcelain | Avoid metal contact |
| Glass cleaner | Ethanol | 5% v/v | Use undiluted | 0 | Glass, mirrors | Streak-free formulas vary |
