# Asset Managers for Dividend Income and Capital Returns

| Stock name | WADDELL & REED FINANCIAL | FEDERATED INVESTORS | INVESCO | T. ROWE PRICE GROUP | BLACKROCK | FRANKLIN RESOURCES | SEI INVESTMENTS |
| --- | --- | --- | --- | --- | --- | --- | --- |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |
| ISIN | US9300591008 | US3142111034 | BMG491BT1088 | US74144T1088 | US09247X1019 | US3546131018 | US7841171033 |
| Last trade | 44.83 | 33.82 | 38.55 | 77.24 | 334.70 | 45.45 | 53.31 |
|  |  |  |  |  |  |  |  |
| P/E | 13.0 | 22.7 | 16.0 | 16.9 | 17.0 | 12.2 | 27.2 |
| EPS | 3.5 | 1.5 | 2.4 | 4.6 | 1983.0 | 3.7 | 1.9 |
| Dividend/Share | 1.72 | 1.00 | 1.04 | 2.08 | 8.72 | 0.60 | 0.48 |
| Ex-Date | Jul 09 2015 | May 06 2015 | May 13 2015 | Jun 11 2015 | Jun 05 2015 | Jun 26 2015 | Jun 12 2015 |
| Payout Ratio | 50 | 67 | 43 | 46 | 0 | 16 | 25 |
| Dividend yield | 3.84 | 2.96 | 2.70 | 2.69 | 2.61 | 1.32 | 0.90 |
