# General Health Claims for Common Foods (Non-quantified)

| Item | Claimed Benefit | Supporting Rationale (General) | Measurement Provided? |
| --- | --- | --- | --- |
| Green tea | Supports metabolism | Contains plant compounds | No |
| Yogurt | Supports gut health | Live cultures may help digestion | No |
| Oats | Supports heart health | Often associated with cholesterol reduction | No |
| Blueberries | Antioxidant support | Rich in colorful plant compounds | No |
| Olive oil | Heart-friendly choice | Commonly described as a healthier fat | No |
| Almonds | Satiety support | Nutrient-dense snack | No |
| Salmon | Brain/heart support | Often linked with omega-3s | No |
| Garlic | Immune support | Traditional use | No |
| Turmeric | Joint comfort support | Curcumin is discussed in wellness content | No |
