# Food Additive Watchlist  Ingredient Risks and Allergy Alerts (Nutrition Facts Not Included)

| Additive / Ingredient | Where Commonly Found | Claimed Purpose | Potential Concerns | Allergy Notes | Recommendation |
|---|---|---|---|---|---|
| MSG | Seasonings, snacks | Flavor enhancer | Headache reports, sensitivity claims | Generally not a true allergy | Limit if sensitive |
| Sodium nitrite | Processed meats | Preservative | Nitrosamine formation concern | Not an allergen | Reduce processed meat intake |
| High-fructose corn syrup | Sodas, sauces | Sweetener | Overconsumption linked to weight gain | Rare allergy | Avoid frequent intake |
| Artificial color (Red 40) | Candy, drinks | Color | Hyperactivity concerns (mixed evidence) | Possible sensitivity | Choose dye-free options |
| Carrageenan | Plant milks, deli meats | Thickener | GI irritation in some people | Not typical allergen | Avoid if IBS |
| BHA/BHT | Cereals, chips | Antioxidant preservative | Controversial safety perception | Not typical allergen | Minimize ultra-processed foods |
| Sulfites | Dried fruit, wine | Preservative | Asthma trigger in sensitive individuals | Sulfite sensitivity | Check labels carefully |
| Gluten | Bread, sauces | Protein network | Triggers celiac disease | Major dietary allergen | Avoid if diagnosed |
| Lactose | Dairy | Milk sugar | Intolerance symptoms | Not an allergy | Use lactose-free dairy if needed |
