# Mortality in Farmed Salmon  Leading Disease Causes and Production Losses (Norway, 2021)

| Rank | Species | Cause category | Specific disease/condition | Dead fish (count) | Mortality rate (%) | Farm-level interventions |
| --- | --- | --- | --- | ---: | ---: | --- |
| 1 | Atlantic salmon | Parasitic | Sea lice infestation | 1,240,000 | 3.4 | Chemical bath; cleaner fish |
| 2 | Atlantic salmon | Viral | Infectious salmon anemia (ISA) | 860,000 | 2.3 | Quarantine; culling |
| 3 | Atlantic salmon | Viral | Pancreas disease (PD) | 740,000 | 2.0 | Vaccination program |
| 4 | Atlantic salmon | Bacterial | Furunculosis | 510,000 | 1.4 | Antibiotic treatment |
| 5 | Atlantic salmon | Environmental | Hypoxia event | 420,000 | 1.1 | Aeration; stocking reduction |
| 6 | Atlantic salmon | Handling/trauma | Transport stress | 305,000 | 0.8 | Improved handling protocols |
| 7 | Atlantic salmon | Parasitic | Amoebic gill disease (AGD) | 290,000 | 0.8 | Freshwater treatment |
| 8 | Atlantic salmon | Fungal | Saprolegniasis | 170,000 | 0.5 | Water quality controls |
| 9 | Atlantic salmon | Nutritional | Feed-related enteritis | 155,000 | 0.4 | Feed reformulation |
| 10 | Atlantic salmon | Unknown | Undetermined | 120,000 | 0.3 | Investigation ongoing |
