# Health and Longevity Outcomes by Religious Affiliation (Cross-National Survey Snapshot)

| Country | Religious Group | Sample Size (n) | Self-Rated Health (1-5) | Avg. BMI | Depression Screen Positive (%) | Smoking Prevalence (%) | Life Satisfaction (0-10) |
|---|---|---:|---:|---:|---:|---:|---:|
| United Kingdom | Christian | 1200 | 3.8 | 26.1 | 12.4 | 15.2 | 7.1 |
| United Kingdom | No religion | 980 | 3.9 | 25.7 | 14.1 | 16.8 | 7.3 |
| Turkey | Muslim | 1100 | 3.6 | 27.4 | 10.8 | 28.0 | 6.6 |
| Turkey | No religion | 140 | 3.7 | 26.9 | 12.2 | 30.5 | 6.8 |
| India | Hindu | 1300 | 3.4 | 23.8 | 9.9 | 12.1 | 6.5 |
| India | Muslim | 420 | 3.3 | 24.2 | 10.7 | 11.6 | 6.3 |
| Brazil | Catholic | 900 | 3.7 | 27.8 | 13.0 | 14.4 | 7.0 |
| Brazil | Protestant | 620 | 3.6 | 28.0 | 13.8 | 13.9 | 6.9 |
| Japan | Buddhist/Shinto | 800 | 3.8 | 23.6 | 11.2 | 18.9 | 7.2 |
