# LPGA Free Live Odds and Scores - Sports News Live Odds LPGA Odds LPGA Scores LPGA Sports News Sports Events - Odds and News Odds & News

| Pos | 1 | 2 | 3 | T4 | T4 | T4 | T4 | T4 | T9 | T9 | T9 | T12 | T12 | T12 | T12 | T12 | T17 | T17 | T17 | T20 | T20 | T20 | T20 | T20 | T20 | T26 | T26 | T26 | T26 | T26 | T31 | T31 | T31 | T31 | T31 | T31 | T37 | T37 | T37 | T37 | T37 | T37 | 43 | 44 | T45 | T45 | T45 | T45 | T45 | T45 | T45 | T52 | T52 | T52 | T52 | T52 | T52 | T52 | T52 | T60 | T60 | T62 | T62 | T62 | T65 | T65 | T67 | T67 | T67 | T70 | T70 | T72 | T72 | T74 | T74 | 76 | 77 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Player | Stacy Lewis | Lexi Thompson | Karine Icher | Azahara Munoz | So Yeon Ryu | Sun Young Yoo | Karrie Webb | Brittany Lincicome | Lindsey Wright | Hee Young Park | Natalie Gulbis | Suzann Pettersen | Nicole Castrale | Caroline Hedwall | Haeji Kang | Pornanong Phatlum | Brittany Lang | Meena Lee | Jenny Rosales | Mariajo Uribe | Eun-Hee Ji | Karin Sjodin | Na Yeon Choi | Moira Dunn | Becky Morgan | Meaghan Francella | Hee-Won Han | Numa Gulyanamitta | Cristie Kerr | Hee Kyung Seo | Jin Young Pak | Beatriz Recari | Anna Nordqvist | Chella Choi | Christel Boeljon | Sydnee Michaels | Paula Creamer | Shanshan Feng | Anna Grzebien | Mina Harigae | Morgan Pressel | Angela Stanford | Cindy LaCrosse | Alison Walshe | Marcy Hart | Jeong Jang | Jennifer Johnson | Sophie Gustafson | Lorie Kane | Sarah Kemp | Jenny Shin | Song-Hee Kim | Reilley Rankin | Jessica Korda | Dori Carter | Giulia Sergas | Ryann O'Toole | Pernilla Lindberg | Vicky Hurst | Belen Mozo | Kathleen Ekey | Tiffany Joh | Candie Kung | Ji Young Oh | Haru Nomura | Heather Bowie Young | Paige Mackenzie | Jee Young Lee | Stephanie Sherlock | Wendy Doolan | Veronica Felibert | Katie Futcher | Mi Jung Hur | Jessica Shepley | Jacqui Concolino | Maria Hjorth | Lisa Ferrero |
| Money Won | 187,500 | 114,347 | 82,951 | 44,887 | 44,887 | 44,887 | 44,887 | 44,887 | 25,563 | 25,563 | 25,563 | 19,407 | 19,407 | 19,407 | 19,407 | 19,407 | 15,568 | 15,568 | 15,568 | 13,157 | 13,157 | 13,157 | 13,157 | 13,157 | 13,157 | 10,655 | 10,655 | 10,655 | 10,655 | 10,655 | 8,545 | 8,545 | 8,545 | 8,545 | 8,545 | 8,545 | 6,667 | 6,667 | 6,667 | 6,667 | 6,667 | 6,667 | 5,759 | 5,509 | 4,767 | 4,767 | 4,767 | 4,767 | 4,767 | 4,767 | 4,767 | 3,694 | 3,694 | 3,694 | 3,694 | 3,694 | 3,694 | 3,694 | 3,694 | 3,099 | 3,099 | 2,942 | 2,942 | 2,942 | 2,786 | 2,786 | 2,629 | 2,629 | 2,629 | 2,489 | 2,489 | 2,425 | 2,425 | 2,365 | 2,365 | 2,320 | 2,291 |
| 1 | 68 | 70 | 72 | 69 | 69 | 68 | 73 | 70 | 67 | 70 | 69 | 73 | 71 | 67 | 68 | 72 | 72 | 69 | 67 | 68 | 74 | 72 | 70 | 71 | 74 | 75 | 71 | 69 | 70 | 71 | 70 | 70 | 71 | 72 | 69 | 68 | 71 | 70 | 74 | 76 | 68 | 72 | 68 | 72 | 71 | 75 | 72 | 70 | 72 | 69 | 70 | 70 | 72 | 72 | 69 | 73 | 70 | 73 | 70 | 72 | 71 | 74 | 72 | 73 | 71 | 76 | 73 | 77 | 75 | 72 | 73 | 67 | 68 | 74 | 73 | 71 | 70 |
| 2 | 67 | 71 | 65 | 69 | 67 | 69 | 70 | 67 | 69 | 70 | 70 | 68 | 70 | 73 | 70 | 69 | 69 | 69 | 72 | 69 | 68 | 64 | 70 | 67 | 65 | 69 | 69 | 70 | 71 | 71 | 72 | 70 | 68 | 65 | 70 | 68 | 72 | 71 | 66 | 68 | 74 | 69 | 70 | 71 | 72 | 69 | 72 | 71 | 71 | 71 | 70 | 73 | 70 | 68 | 73 | 69 | 70 | 68 | 71 | 72 | 71 | 70 | 70 | 69 | 69 | 67 | 67 | 67 | 69 | 71 | 71 | 77 | 71 | 70 | 71 | 72 | 74 |
| 3 | 67 | 66 | 68 | 70 | 72 | 69 | 64 | 67 | 70 | 71 | 68 | 69 | 69 | 70 | 69 | 66 | 70 | 71 | 69 | 71 | 67 | 74 | 75 | 72 | 70 | 69 | 70 | 70 | 70 | 69 | 70 | 71 | 71 | 76 | 68 | 72 | 74 | 73 | 70 | 68 | 70 | 70 | 74 | 70 | 71 | 70 | 70 | 71 | 74 | 77 | 76 | 74 | 74 | 73 | 72 | 71 | 75 | 73 | 78 | 71 | 71 | 74 | 70 | 73 | 77 | 77 | 75 | 72 | 75 | 74 | 74 | 74 | 79 | 75 | 77 | 76 | 74 |
| 4 | 69 | 65 | 68 | 68 | 68 | 70 | 69 | 72 | 71 | 66 | 70 | 68 | 68 | 68 | 71 | 71 | 68 | 70 | 71 | 72 | 71 | 70 | 65 | 70 | 71 | 68 | 71 | 72 | 70 | 70 | 70 | 71 | 72 | 69 | 75 | 74 | 66 | 69 | 73 | 71 | 71 | 72 | 72 | 72 | 72 | 72 | 72 | 74 | 69 | 69 | 70 | 70 | 71 | 74 | 73 | 74 | 72 | 73 | 68 | 73 | 75 | 71 | 77 | 74 | 73 | 70 | 76 | 75 | 72 | 75 | 74 | 75 | 75 | 75 | 73 | 76 | 80 |
| Today | -3 | -7 | -4 | -4 | -4 | -2 | -3 | E | -1 | -6 | -2 | -4 | -4 | -4 | -1 | -1 | -4 | -2 | -1 | E | -1 | -2 | -7 | -2 | -1 | -4 | -1 | E | -2 | -2 | -2 | -1 | E | -3 | +3 | +2 | -6 | -3 | +1 | -1 | -1 | E | E | E | E | E | E | +2 | -3 | -3 | -2 | -2 | -1 | +2 | +1 | +2 | E | +1 | -4 | +1 | +3 | -1 | +5 | +2 | +1 | -2 | +4 | +3 | E | +3 | +2 | +3 | +3 | +3 | +1 | +4 | +8 |
| Score | -17 | -16 | -15 | -12 | -12 | -12 | -12 | -12 | -11 | -11 | -11 | -10 | -10 | -10 | -10 | -10 | -9 | -9 | -9 | -8 | -8 | -8 | -8 | -8 | -8 | -7 | -7 | -7 | -7 | -7 | -6 | -6 | -6 | -6 | -6 | -6 | -5 | -5 | -5 | -5 | -5 | -5 | -4 | -3 | -2 | -2 | -2 | -2 | -2 | -2 | -2 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | E | E | +1 | +1 | +1 | +2 | +2 | +3 | +3 | +3 | +4 | +4 | +5 | +5 | +6 | +6 | +7 | +10 |
