# MLB Jersey Sales Rankings by Player and Team (2011)

| Rank | Player | Team | Category |
| --- | --- | --- | --- |
| 1 | Derek Jeter | New York Yankees | Jersey Sales |
| 2 | Cliff Lee | Philadelphia Phillies | Jersey Sales |
| 3 | Albert Pujols | Los Angeles Angels | Jersey Sales |
| 4 | Josh Hamilton | Texas Rangers | Jersey Sales |
| 5 | Roy Halladay | Philadelphia Phillies | Jersey Sales |
| 6 | Tim Lincecum | San Francisco Giants | Jersey Sales |
| 7 | Dustin Pedroia | Boston Red Sox | Jersey Sales |
| 8 | Ryan Braun | Milwaukee Brewers | Jersey Sales |
| 9 | Hunter Pence | Philadelphia Phillies | Jersey Sales |
| 10 | Buster Posey | San Francisco Giants | Jersey Sales |
