# Common Foods and Edible Ingredients Classified by Food Group and Typical Dietary Suitability

| Food item | Food group | Typical dietary suitability label | Notes (brief) |
|---|---|---|---|
| Brown rice | Grain/Starch | Vegan, Gluten-free | Whole grain staple |
| Rolled oats | Grain/Starch | Vegan (check cross-contact), Contains gluten (often) | Common breakfast grain |
| Quinoa | Pseudograin | Vegan, Gluten-free | Higher protein vs many grains |
| Whole wheat bread | Grain/Starch | Vegan (often), Contains gluten | Processed grain product |
| Lentils | Legume | Vegan, Gluten-free | High fiber/protein |
| Chickpeas | Legume | Vegan, Gluten-free | Used in hummus/falafel |
| Greek yogurt (plain) | Dairy | Vegetarian, Not vegan | High-protein dairy |
| Cheddar cheese | Dairy | Vegetarian (sometimes), Not vegan | Check rennet source |
| Egg | Protein (animal) | Vegetarian, Not vegan | Common allergen |
| Salmon | Protein (seafood) | Pescatarian | Oily fish |
| Apple | Fruit | Vegan, Gluten-free | Fresh produce |
| Spinach | Vegetable | Vegan, Gluten-free | Leafy green |
| Almonds | Nuts/Seeds | Vegan, Gluten-free | Common allergen |
| Potato chips (plain) | Snack food | Vegan (often), Gluten-free (often) | Highly processed snack |
