# North Dakota St. at East. Michigan | 2007-01-03 | College Basketball | Yahoo! Sports

| Players | Brett Winkelman | Mike Nelson | Ben Woodside | Sam Sussenguth | Andre Smith | Lucas Moormann | Austin Pennick | Lorenzo Riley | Josh Vaughan | Totals | Percentages |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Min | 29 | 36 | 37 | 14 | 36 | 19 | 16 | 4 | 9 |  |  |
| FG | 5-10 | 6-12 | 4-10 | 5-6 | 3-8 | 2-2 | 0-2 | 0-0 | 0-0 | 25-50 | 50.0% |
| 3pt | 1-4 | 3-7 | 1-4 | 0-1 | 0-1 | 0-0 | 0-0 | 0-0 | 0-0 | 5-17 | 29.4% |
| FT | 5-7 | 0-0 | 5-8 | 0-0 | 1-1 | 0-2 | 0-1 | 0-0 | 0-0 | 11-19 | 57.9% |
| Off | 2 | 0 | 0 | 1 | 3 | 3 | 2 | 0 | 0 | 11 |  |
| Def | 3 | 0 | 1 | 1 | 8 | 2 | 2 | 0 | 0 | 17 |  |
| Reb | 5 | 0 | 1 | 2 | 11 | 5 | 4 | 0 | 0 | 28 |  |
| Ast | 0 | 1 | 6 | 0 | 2 | 0 | 1 | 0 | 1 | 11 |  |
| TO | 2 | 7 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 15 |  |
| Stl | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 2 |  |
| Blk | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  |
| PF | 3 | 1 | 3 | 0 | 4 | 1 | 5 | 2 | 0 | 19 |  |
| Pts | 16 | 15 | 14 | 10 | 7 | 4 | 0 | 0 | 0 | 66 |  |
