# Beijing 2008 Opening Ceremony Program (Key Segments and Creative Roles)

| Order | Segment Title | Artistic Lead | Main Performers | Location | Duration (min) | Description |
|---:|---|---|---|---|---:|---|
| 1 | Countdown & Drums | Chief Choreographer | 2008 Fou drummers | National Stadium | 6 | Percussion countdown sequence |
| 2 | Scroll Painting | Visual Director | Dance ensemble | National Stadium | 8 | Ink-and-scroll themed visuals |
| 3 | Movable Type | Stage Director | Block performers | National Stadium | 10 | Character blocks forming texts |
| 4 | Silk Road | Music Director | Orchestra + dancers | National Stadium | 7 | Trade-route motif |
| 5 | Taiji | Choreography Team | Taiji practitioners | National Stadium | 6 | Coordinated martial arts forms |
| 6 | Children & Peace | Creative Team | School children | National Stadium | 5 | Choir and lanterns |
| 7 | Athlete Parade | Protocol Team | Delegations | Stadium track | 60 | Delegations enter by country |
| 8 | Oath & Flag | IOC/BOCOG Protocol | Officials | Main stage | 5 | Olympic oath and raising flag |
| 9 | Cauldron Lighting | Ceremony Director | Final torchbearer | Roof walkway | 8 | Final ascent and ignition |
