# Top Torrent Indexing Sites and Aggregators (2024 Snapshot)

| Rank | Site | Type | Primary Content | Requires Account | Notable Notes |
|---:|---|---|---|---|---|
| 1 | The Pirate Bay | Indexing site | Movies, TV, software | No | Magnet links, mirrors common |
| 2 | 1337x | Indexing site | General | Optional | Curated categories |
| 3 | RARBG (mirrors) | Indexing site | Movies/TV | No | Many clone domains |
| 4 | YTS | Specialized | Movies | No | Small-size encodes |
| 5 | TorrentGalaxy | Indexing site | General | Optional | Active community |
| 6 | Nyaa | Specialized | Anime | Optional | Strong tagging |
| 7 | LimeTorrents | Indexing site | General | No | Large catalog |
| 8 | Torrentz2 | Meta-search | Aggregated | No | Queries multiple sources |
| 9 | EZTV | Specialized | TV | No | TV-focused releases |
| 10 | FitGirl Repacks (torrent listings) | Release site | Game repacks | No | Often uses torrents/magnets |
