# Professional Wrestlers Directory (Ring Names, Promotions, Notable Titles, Recognition Year)

| Wrestler (real name) | Ring name | Primary promotion(s) | Signature title(s) held | Recognition (Hall of Fame/award) | Recognition year |
|---|---|---|---|---|---|
| Terry Bollea | Hulk Hogan | WWF/WWE, WCW | WWF Championship; WCW World Heavyweight Championship | WWE Hall of Fame | 2005 |
| Roderick Toombs | "Rowdy" Roddy Piper | WWF/WWE, WCW | WWF Intercontinental Championship | WWE Hall of Fame | 2005 |
| Richard Fliehr | Ric Flair | NWA, WCW, WWF/WWE | NWA Worlds Heavyweight Championship; WCW World Heavyweight Championship | WWE Hall of Fame | 2008 |
| Steve Williams | "Stone Cold" Steve Austin | WWF/WWE, WCW | WWF Championship | WWE Hall of Fame | 2009 |
| Bret Hart | "Hitman" Bret Hart | WWF/WWE, WCW | WWF Championship | WWE Hall of Fame | 2006 |
| Eduardo Gory Guerrero | Eddie Guerrero | WCW, WWF/WWE | WWE Championship | WWE Hall of Fame | 2006 |
| Ricky Steamboat | Ricky "The Dragon" Steamboat | NWA, WCW, WWF/WWE | WWF Intercontinental Championship | WWE Hall of Fame | 2009 |
| Mark Calaway | The Undertaker | WWF/WWE | WWE Championship; World Heavyweight Championship | WWE Hall of Fame | 2022 |
| Óscar Gutiérrez | Rey Mysterio | WCW, WWE | World Heavyweight Championship; WWE Championship | WWE Hall of Fame | 2023 |
| Allen Jones | AJ Styles | TNA/Impact, NJPW, WWE | TNA World Heavyweight Championship; WWE Championship | PWI Wrestler of the Year | 2016 |
| Shinsuke Nakamura | Shinsuke Nakamura | NJPW, WWE | IWGP Intercontinental Championship | Wrestling Observer Most Charismatic | 2014 |
