# Incidence and Prevalence of Selected Infectious Diseases (Global High-Income Settings)

| Condition | Measure type | Quantified incidence/prevalence | Population/Timeframe | Notes |
|---|---|---|---|---|
| Seasonal influenza (symptomatic) | Incidence | 5–10% per year | Global, annual | Typical annual attack rate in adults varies by season |
| Norovirus gastroenteritis | Incidence | ~0.2 cases/person-year | Community | Often reported as episodes per person-year |
| Tuberculosis (active disease) | Incidence | 130 per 100,000 per year | Global, annual | Reported as new/relapse cases |
| HIV (new infections) | Incidence | 0.4 per 1,000 per year | Global, annual | Incidence varies widely by region |
| Hepatitis B (chronic infection) | Prevalence | 3.5% | Global | Chronic HBV surface antigen positivity |
| Hepatitis C (chronic infection) | Prevalence | 0.7% | Global | Anti-HCV/RNA definitions differ by source |
| Invasive pneumococcal disease | Incidence | 10 per 100,000 per year | High-income settings | Strongly age- and vaccine-dependent |
| Lyme disease | Incidence | 30 per 100,000 per year | Endemic regions, annual | Highly regional within countries |
| Measles | Incidence | 5 per 1,000,000 per year | Highly vaccinated populations | Outbreak-driven; can spike in low coverage |
| Meningococcal disease | Incidence | 0.5 per 100,000 per year | High-income settings | Higher in adolescents and infants |
| Clostridioides difficile infection (healthcare-associated) | Incidence | 150 per 100,000 per year | Hospital catchment, annual | Case definitions vary (HO vs CO-HCFA) |
