# All-Time Top Grossing R-Rated Movies (Worldwide Box Office)

| Rank | Film Title | Release Year | MPAA Rating | Worldwide Gross (USD) | Domestic Gross (USD) | International Gross (USD) |
|---:|---|---:|---|---:|---:|---:|
| 1 | Joker | 2019 | R | 1074000000 | 335000000 | 739000000 |
| 2 | Deadpool | 2016 | R | 782000000 | 363000000 | 419000000 |
| 3 | Deadpool 2 | 2018 | R | 785000000 | 324000000 | 461000000 |
| 4 | Oppenheimer | 2023 | R | 952000000 | 330000000 | 622000000 |
| 5 | It | 2017 | R | 702000000 | 328000000 | 374000000 |
| 6 | Logan | 2017 | R | 619000000 | 227000000 | 392000000 |
| 7 | The Passion of the Christ | 2004 | R | 612000000 | 371000000 | 241000000 |
| 8 | The Matrix Reloaded | 2003 | R | 739000000 | 281000000 | 458000000 |
| 9 | Pretty Woman | 1990 | R | 463000000 | 179000000 | 284000000 |
| 10 | The Hangover | 2009 | R | 469000000 | 277000000 | 192000000 |
