# Cause-Specific Mortality (Deaths) by Sex — Top Causes with Counts and Rates, 2016 (Country Y)

| Cause of death (named) | ICD-10 (summary) | Male deaths | Female deaths | Total deaths | Death rate (per 100,000) | Rank (total) |
|---|---|---:|---:|---:|---:|---:|
| Diseases of the heart | I00–I09, I11, I13, I20–I51 | 168,240 | 151,310 | 319,550 | 97.4 | 1 |
| Malignant neoplasms (all cancers) | C00–C97 | 162,880 | 143,920 | 306,800 | 93.5 | 2 |
| Stroke (cerebrovascular diseases) | I60–I69 | 63,410 | 75,260 | 138,670 | 42.3 | 3 |
| Chronic lower respiratory diseases | J40–J47 | 54,920 | 55,480 | 110,400 | 33.6 | 4 |
| Unintentional injuries | V01–X59, Y85–Y86 | 68,730 | 34,210 | 102,940 | 31.4 | 5 |
| Alzheimer’s disease | G30 | 22,510 | 44,980 | 67,490 | 20.6 | 6 |
| Diabetes mellitus | E10–E14 | 32,140 | 29,860 | 62,000 | 18.9 | 7 |
| Influenza and pneumonia | J09–J18 | 25,060 | 27,140 | 52,200 | 15.9 | 8 |
| Kidney disease (nephritis/nephrosis) | N00–N07, N17–N19 | 23,480 | 22,310 | 45,790 | 14.0 | 9 |
| Suicide (intentional self-harm) | X60–X84 | 20,950 | 5,680 | 26,630 | 8.1 | 10 |
|  | **All causes (total)** | **1,054,000** | **1,023,000** | **2,077,000** | **632.9** |  |
|  | **Top-10 causes subtotal** | **642,320** | **589,150** | **1,231,470** |  |  |
