# Amino Acid Classification and Key Roles

| Amino Acid | Classification | Abbreviation | Common Role | Note |
| --- | --- | --- | --- | --- |
| Leucine | Essential (BCAA) | Leu | Muscle protein synthesis signaling | Not a food item |
| Isoleucine | Essential (BCAA) | Ile | Energy metabolism | Not a food item |
| Valine | Essential (BCAA) | Val | Muscle repair | Not a food item |
| Lysine | Essential | Lys | Collagen formation | Not a food item |
| Methionine | Essential | Met | Methylation; antioxidant pathways | Not a food item |
| Threonine | Essential | Thr | Gut mucin production | Not a food item |
| Tryptophan | Essential | Trp | Serotonin precursor | Not a food item |
| Alanine | Non-essential | Ala | Glucose-alanine cycle | Not a food item |
| Glutamine | Conditionally essential | Gln | Immune & gut fuel | Not a food item |
| Arginine | Conditionally essential | Arg | Nitric oxide production | Not a food item |
