# Country–Capital Lookup (Selected Americas and Oceania)

| Region | Country | Capital |
|---|---|---|
| North America | Canada | Ottawa |
| North America | United States | Washington, D.C. |
| North America | Mexico | Mexico City |
| Central America | Guatemala | Guatemala City |
| Central America | Costa Rica | San José |
| Caribbean | Jamaica | Kingston |
| South America | Brazil | Brasília |
| South America | Argentina | Buenos Aires |
| South America | Chile | Santiago |
| Oceania | Australia | Canberra |
| Oceania | New Zealand | Wellington |
| Oceania | Fiji | Suva |
