# Strategy & Party Board Games — Player Count Range with Complexity and Time

| Game title | No. of players | Typical play length | Complexity (weight) | Primary genre |
|---|---|---|---:|---|
| The Crew: The Quest for Planet Nine | 2–5 | 20 min | 2.0 | Cooperative trick-taking |
| Wingspan | 1–5 | 40–70 min | 2.4 | Engine-building |
| Splendor | 2–4 | 30 min | 1.8 | Tableau/engine |
| Gloomhaven | 1–4 | 90–150 min | 3.8 | Cooperative campaign |
| Root | 2–4 | 60–90 min | 3.7 | Asymmetric strategy |
| Codenames | 2–8 | 15 min | 1.3 | Team party word game |
| Betrayal at House on the Hill | 3–6 | 60 min | 2.4 | Horror semi-coop |
| Love Letter | 2–4 | 20 min | 1.2 | Microgame deduction |
| Brass: Birmingham | 2–4 | 60–120 min | 3.9 | Economic strategy |
