# Adjacent Constellations (IAU) — Border Neighbors for Selected Zodiac & Southern Constellations

| Constellation | Neighbor 1 | Neighbor 2 | Neighbor 3 | Neighbor 4 | Neighbor 5 | Neighbor 6 | Neighbor 7 |
|---|---|---|---|---|---|---|---|
| Orion | Taurus | Gemini | Monoceros | Canis Minor | Lepus | Eridanus |  |
| Taurus | Aries | Perseus | Auriga | Gemini | Orion | Cetus |  |
| Gemini | Taurus | Auriga | Lynx | Cancer | Canis Minor | Orion | Monoceros |
| Leo | Cancer | Leo Minor | Ursa Major | Coma Berenices | Virgo | Sextans | Hydra |
| Virgo | Leo | Libra | Boötes | Coma Berenices | Corvus | Crater | Hydra |
| Sagittarius | Scorpius | Ophiuchus | Capricornus | Aquila | Microscopium | Corona Australis | Telescopium |
| Scorpius | Libra | Ophiuchus | Sagittarius | Lupus | Ara | Corona Australis | Norma |
| Crux | Centaurus | Musca |  |  |  |  |  |
| Centaurus | Hydra | Lupus | Norma | Circinus | Crux | Musca | Carina |
| Carina | Vela | Puppis | Centaurus | Volans | Pictor |  |  |
