# Education, Marriage, and Fertility Indicators by Religion (Multi-Country Microdata Summary)

| Country | Religion Category | Median Years of Schooling | Marriage Rate (%) | Avg. Age at First Marriage | Total Fertility Rate | Childlessness (%) | Household Size (avg.) |
|---|---|---:|---:|---:|---:|---:|---:|
| Germany | Christian | 13.1 | 52.0 | 30.4 | 1.48 | 22.1 | 2.1 |
| Germany | No religion | 14.0 | 45.5 | 31.2 | 1.32 | 25.4 | 2.0 |
| Egypt | Muslim | 9.3 | 68.4 | 24.1 | 2.95 | 8.3 | 4.2 |
| Egypt | Christian | 11.0 | 63.2 | 25.0 | 2.62 | 9.1 | 4.0 |
| Mexico | Catholic | 10.6 | 58.9 | 25.8 | 2.20 | 12.5 | 3.6 |
| Mexico | Protestant | 9.9 | 56.3 | 25.2 | 2.35 | 11.9 | 3.8 |
| Philippines | Catholic | 11.2 | 49.7 | 26.7 | 2.70 | 10.4 | 4.4 |
| Philippines | Muslim | 9.4 | 53.1 | 24.8 | 3.40 | 8.8 | 4.9 |
| India | Hindu | 8.7 | 64.2 | 21.9 | 2.20 | 7.5 | 4.7 |
| India | Muslim | 7.9 | 66.0 | 21.2 | 2.60 | 6.8 | 4.9 |
