# Non-Opioid Analgesics by Class  NSAIDs and Adjunct Pain-Relief Options

| Category (Non-opioid) | Subclass / Mechanism | Generic Name | Brand Names (Examples) | Pain Indications (Examples) | Route |
| --- | --- | --- | --- | --- | --- |
| NSAID | COX inhibitor (propionic acid) | Ketoprofen | Orudis | Acute musculoskeletal pain | Oral / topical |
| NSAID | COX inhibitor (propionic acid) | Flurbiprofen | Ansaid | Inflammatory pain | Oral |
| NSAID | COX inhibitor (aryl acetic acid) | Etodolac | Lodine | Osteoarthritis pain, general inflammatory pain | Oral |
| NSAID | COX inhibitor (aryl acetic acid) | Nabumetone | Relafen | Chronic inflammatory pain | Oral |
| NSAID | COX inhibitor (fenamate) | Meclofenamate | Meclomen | Acute pain, dysmenorrhea | Oral |
| NSAID | COX inhibitor (salicylate) | Salsalate | Disalcid | Musculoskeletal pain | Oral |
| NSAID | COX inhibitor (acetic acid) | Sulindac | Clinoril | Inflammatory pain | Oral |
| NSAID | COX inhibitor (acetic acid) | Tolmetin | Tolectin | Mild-to-moderate pain, arthritis pain | Oral |
| COX-2 selective NSAID | Preferential COX-2 inhibitor | Celecoxib | Celebrex | Osteoarthritis pain, inflammatory pain | Oral |
| Analgesic adjuvant | Topical NSAID | Diclofenac (topical) | Voltaren Gel | Localized joint pain | Topical |
| Analgesic adjuvant | Topical anesthetic | Lidocaine (topical) | Lidoderm | Localized neuropathic pain | Topical |
| Analgesic adjuvant | Capsaicin (TRPV1 agonist) | Capsaicin | Zostrix, Capzasin | Neuropathic pain, minor joint pain | Topical |
