# Household Product Formulations - Ingredient Concentrations Shown Only as Qualitative Bands

| Product | Ingredient (single chemical) | CAS No. | Strength (qualitative) | Typical Role |
| --- | --- | --- | --- | --- |
| Chlorine bleach | Sodium hypochlorite | 7681-52-9 | High | Active oxidizer |
| Chlorine bleach | Sodium chloride | 7647-14-5 | Medium | Byproduct/ionic strength |
| Chlorine bleach | Sodium hydroxide | 1310-73-2 | Low | Stabilizer (pH) |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | Medium | Solvent |
| Glass cleaner | 2-Butoxyethanol | 111-76-2 | Low | Solvent/degreaser |
| Laundry detergent | Linear alkylbenzene sulfonate | 68411-30-3 | Medium | Primary surfactant |
| Laundry detergent | Sodium carbonate | 497-19-8 | Medium | Builder |
| Dish soap | Cocamidopropyl betaine | 61789-40-0 | Medium | Co-surfactant |
| Dish soap | Sodium chloride | 7647-14-5 | Low | Viscosity control |
| Bathroom descaler | Citric acid | 77-92-9 | Medium | Chelant/acid |
