# Household Product Mixtures - Concentration Given Only for the Whole Product, Not Per Ingredient

| Product/Formulation | Listed Ingredient (single chemical) | CAS No. | Product Strength (overall) | Measurement Basis |
| --- | --- | --- | --- | --- |
| Disinfecting bleach solution | Sodium hypochlorite | 7681-52-9 | 5% active product | Labeled as "5% bleach" (no ingredient breakdown) |
| Disinfecting bleach solution | Sodium hydroxide | 1310-73-2 | 5% active product | Overall label claim only |
| Disinfecting bleach solution | Sodium chloride | 7647-14-5 | 5% active product | Overall label claim only |
| Vinegar cleaner | Acetic acid | 64-19-7 | 6% acidity | Total acidity, not ingredient-specific |
| Vinegar cleaner | Water | 7732-18-5 | 6% acidity | Strength refers to acidity only |
| Glass cleaner concentrate | Isopropyl alcohol | 67-63-0 | 1:10 dilution recommended | Usage instruction, not concentration |
| Glass cleaner concentrate | 2-Butoxyethanol | 111-76-2 | 1:10 dilution recommended | Usage instruction, not concentration |
| Oxygen bleach powder | Sodium percarbonate | 15630-89-4 | "Oxygen power" (non-numeric) | Marketing claim |
| Oxygen bleach powder | Sodium carbonate | 497-19-8 | "Oxygen power" (non-numeric) | Marketing claim |
| Hand soap | Benzalkonium chloride | 8001-54-5 | 99.9% germs removed | Efficacy claim, not ingredient strength |
