# Clinical Biomarkers Linked to Disease Risk (Laboratory Metabolic, Not Exposure Route)

| Biomarker | Sample type | High value suggests | Example diseases/risks | Typical use | Exposure route described? |
|---|---|---|---|---|---|
| LDL cholesterol | Blood | Atherogenic risk | Coronary artery disease, stroke | Risk stratification | No |
| HbA1c | Blood | Chronic hyperglycemia | Type 2 diabetes complications | Diagnosis/monitoring | No |
| C-reactive protein (CRP) | Blood | Systemic inflammation | Cardiovascular risk, inflammatory states | Monitoring | No |
| PSA | Blood | Prostate tissue activity | Prostate cancer risk | Screening support | No |
| ALT/AST | Blood | Hepatocellular injury | Liver disease | Workup | No |
| Creatinine/eGFR | Blood | Reduced kidney function | Chronic kidney disease | Staging | No |
| D-dimer | Blood | Coagulation activation | Thrombosis risk | Rule-out testing | No |
| BMI | Anthropometric | Excess adiposity | Metabolic syndrome risk | Screening | No |
| Blood pressure | Vital sign | Hypertension | Stroke, heart failure | Screening | No |
| Exhaled CO | Breath | Smoke exposure | Smoking-related harm | Exposure confirmation | Non-infectious |
